plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
01067,158,Dresden I,1.0,True
01069,158,Dresden I,1.0,True
01097,159,Dresden II – Bautzen II,1.0,True
01099,159,Dresden II – Bautzen II,1.0,True
01108,154,Meißen,0.014305,False
01108,159,Dresden II – Bautzen II,0.985695,True
01109,159,Dresden II – Bautzen II,1.0,True
01127,159,Dresden II – Bautzen II,1.0,True
01129,159,Dresden II – Bautzen II,1.0,True
01139,159,Dresden II – Bautzen II,1.0,True
01156,159,Dresden II – Bautzen II,1.0,True
01157,158,Dresden I,0.013525,False
01157,159,Dresden II – Bautzen II,0.986475,True
01159,158,Dresden I,0.286736,False
01159,159,Dresden II – Bautzen II,0.713264,True
01169,157,Sächsische Schweiz-Osterzgebirge,0.012408,False
01169,159,Dresden II – Bautzen II,0.987592,True
01187,158,Dresden I,0.547651,True
01187,159,Dresden II – Bautzen II,0.452349,False
01189,157,Sächsische Schweiz-Osterzgebirge,0.011959,False
01189,158,Dresden I,0.988041,True
01217,157,Sächsische Schweiz-Osterzgebirge,0.030083,False
01217,158,Dresden I,0.969917,True
01219,158,Dresden I,1.0,True
01237,158,Dresden I,1.0,True
01239,157,Sächsische Schweiz-Osterzgebirge,0.021341,False
01239,158,Dresden I,0.978659,True
01257,158,Dresden I,1.0,True
01259,158,Dresden I,1.0,True
01277,158,Dresden I,1.0,True
01279,158,Dresden I,1.0,True
01307,158,Dresden I,1.0,True
01309,158,Dresden I,1.0,True
01324,159,Dresden II – Bautzen II,1.0,True
01326,159,Dresden II – Bautzen II,1.0,True
01328,159,Dresden II – Bautzen II,1.0,True
01445,154,Meißen,0.988031,True
01445,159,Dresden II – Bautzen II,0.011969,False
01454,159,Dresden II – Bautzen II,1.0,True
01458,159,Dresden II – Bautzen II,1.0,True
01465,159,Dresden II – Bautzen II,1.0,True
01468,154,Meißen,1.0,True
01471,154,Meißen,1.0,True
01477,159,Dresden II – Bautzen II,1.0,True
01558,154,Meißen,1.0,True
01561,154,Meißen,1.0,True
01587,154,Meißen,1.0,True
01589,154,Meißen,1.0,True
01591,154,Meißen,1.0,True
01594,154,Meißen,1.0,True
01609,154,Meißen,1.0,True
01612,154,Meißen,1.0,True
01616,154,Meißen,1.0,True
01619,154,Meißen,1.0,True
01623,154,Meißen,1.0,True
01640,154,Meißen,1.0,True
01662,154,Meißen,1.0,True
01665,154,Meißen,1.0,True
01683,154,Meißen,1.0,True
01689,154,Meißen,1.0,True
01705,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01723,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01728,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01731,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01734,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01737,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01738,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01744,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01762,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01768,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01773,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01774,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01776,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01778,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01796,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01809,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01814,157,Sächsische Schweiz-Osterzgebirge,1.0,True
01816,157,Sächsische Schweiz-Osterzgebirge,1.0,True
