plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
63897,38,38 - Neckar-Odenwald,1.0,True
63916,38,38 - Neckar-Odenwald,1.0,True
63927,23,23 - Main-Tauber,1.0,True
63928,23,23 - Main-Tauber,0.320268,False
63928,38,38 - Neckar-Odenwald,0.679732,True
63930,23,23 - Main-Tauber,1.0,True
63931,38,38 - Neckar-Odenwald,1.0,True
63936,38,38 - Neckar-Odenwald,1.0,True
64646,39,39 - Weinheim,1.0,True
64653,39,39 - Weinheim,1.0,True
64754,38,38 - Neckar-Odenwald,0.012575,False
64754,41,41 - Sinsheim,0.987425,True
64757,41,41 - Sinsheim,1.0,True
64760,38,38 - Neckar-Odenwald,0.121542,False
64760,41,41 - Sinsheim,0.878458,True
67059,35,35 - Mannheim I,0.5,True
67059,36,36 - Mannheim II,0.5,False
67061,35,35 - Mannheim I,0.5,True
67061,36,36 - Mannheim II,0.5,False
67063,35,35 - Mannheim I,0.5,True
67063,36,36 - Mannheim II,0.5,False
67065,35,35 - Mannheim I,0.5,True
67065,36,36 - Mannheim II,0.5,False
67069,35,35 - Mannheim I,0.5,True
67069,36,36 - Mannheim II,0.5,False
67122,35,35 - Mannheim I,0.323829,True
67122,36,36 - Mannheim II,0.323829,False
67122,39,39 - Weinheim,0.198574,False
67122,40,40 - Schwetzingen,0.153768,False
67165,39,39 - Weinheim,0.623153,True
67165,40,40 - Schwetzingen,0.376847,False
67166,39,39 - Weinheim,0.001717,False
67166,40,40 - Schwetzingen,0.998283,True
67227,35,35 - Mannheim I,0.5,True
67227,36,36 - Mannheim II,0.5,False
67240,35,35 - Mannheim I,0.5,True
67240,36,36 - Mannheim II,0.5,False
67346,29,29 - Bruchsal,0.002924,False
67346,40,40 - Schwetzingen,0.997076,True
67354,29,29 - Bruchsal,1.0,True
67360,29,29 - Bruchsal,1.0,True
68159,35,35 - Mannheim I,0.5,True
68159,36,36 - Mannheim II,0.5,False
68161,35,35 - Mannheim I,0.5,True
68161,36,36 - Mannheim II,0.5,False
68163,35,35 - Mannheim I,0.5,True
68163,36,36 - Mannheim II,0.5,False
68165,35,35 - Mannheim I,0.5,True
68165,36,36 - Mannheim II,0.5,False
68167,35,35 - Mannheim I,0.5,True
68167,36,36 - Mannheim II,0.5,False
68169,35,35 - Mannheim I,0.5,True
68169,36,36 - Mannheim II,0.5,False
68199,35,35 - Mannheim I,0.5,True
68199,36,36 - Mannheim II,0.5,False
68219,34,34 - Heidelberg,6e-05,False
68219,35,35 - Mannheim I,0.496176,True
68219,36,36 - Mannheim II,0.496176,False
68219,39,39 - Weinheim,0.000294,False
68219,40,40 - Schwetzingen,0.007294,False
68229,34,34 - Heidelberg,0.000549,False
68229,35,35 - Mannheim I,0.495242,True
68229,36,36 - Mannheim II,0.495242,False
68229,39,39 - Weinheim,0.008967,False
68239,35,35 - Mannheim I,0.498152,True
68239,36,36 - Mannheim II,0.498152,False
68239,39,39 - Weinheim,0.003696,False
68259,35,35 - Mannheim I,0.497745,True
68259,36,36 - Mannheim II,0.497745,False
68259,39,39 - Weinheim,0.00451,False
68305,35,35 - Mannheim I,0.5,True
68305,36,36 - Mannheim II,0.5,False
68307,35,35 - Mannheim I,0.5,True
68307,36,36 - Mannheim II,0.5,False
68309,35,35 - Mannheim I,0.5,True
68309,36,36 - Mannheim II,0.5,False
68519,35,35 - Mannheim I,0.029677,False
68519,36,36 - Mannheim II,0.029677,False
68519,39,39 - Weinheim,0.940645,True
68526,39,39 - Weinheim,1.0,True
68535,34,34 - Heidelberg,0.006728,False
68535,35,35 - Mannheim I,0.004342,False
68535,36,36 - Mannheim II,0.004342,False
68535,39,39 - Weinheim,0.984588,True
68542,35,35 - Mannheim I,0.008329,False
68542,36,36 - Mannheim II,0.008329,False
68542,39,39 - Weinheim,0.983342,True
68549,35,35 - Mannheim I,0.090467,False
68549,36,36 - Mannheim II,0.090467,False
68549,39,39 - Weinheim,0.819067,True
68623,35,35 - Mannheim I,0.471491,True
68623,36,36 - Mannheim II,0.471491,False
68623,39,39 - Weinheim,0.057018,False
68723,34,34 - Heidelberg,0.0006,False
68723,35,35 - Mannheim I,0.000222,False
68723,36,36 - Mannheim II,0.000222,False
68723,37,37 - Wiesloch,5.1e-05,False
68723,40,40 - Schwetzingen,0.998905,True
68753,29,29 - Bruchsal,0.998715,True
68753,37,37 - Wiesloch,0.00087,False
68753,40,40 - Schwetzingen,0.000415,False
68766,37,37 - Wiesloch,3e-05,False
68766,40,40 - Schwetzingen,0.99997,True
68775,40,40 - Schwetzingen,1.0,True
68782,35,35 - Mannheim I,0.000497,False
68782,36,36 - Mannheim II,0.000497,False
68782,39,39 - Weinheim,0.053264,False
68782,40,40 - Schwetzingen,0.945742,True
68789,29,29 - Bruchsal,0.000868,False
68789,37,37 - Wiesloch,0.997837,True
68789,40,40 - Schwetzingen,0.001295,False
68794,29,29 - Bruchsal,0.996365,True
68794,40,40 - Schwetzingen,0.003635,False
68799,37,37 - Wiesloch,0.009651,False
68799,40,40 - Schwetzingen,0.990349,True
68804,29,29 - Bruchsal,0.001256,False
68804,40,40 - Schwetzingen,0.998744,True
68809,40,40 - Schwetzingen,1.0,True
69115,34,34 - Heidelberg,1.0,True
69117,34,34 - Heidelberg,0.996306,True
69117,41,41 - Sinsheim,0.003694,False
69118,34,34 - Heidelberg,0.996674,True
69118,39,39 - Weinheim,0.000489,False
69118,41,41 - Sinsheim,0.002837,False
69120,34,34 - Heidelberg,1.0,True
69121,34,34 - Heidelberg,0.997094,True
69121,39,39 - Weinheim,0.002906,False
69123,34,34 - Heidelberg,0.991127,True
69123,35,35 - Mannheim I,0.000192,False
69123,36,36 - Mannheim II,0.000192,False
69123,39,39 - Weinheim,0.006329,False
69123,40,40 - Schwetzingen,0.002161,False
69124,34,34 - Heidelberg,0.9938,True
69124,37,37 - Wiesloch,0.002228,False
69124,40,40 - Schwetzingen,0.003972,False
69126,34,34 - Heidelberg,0.988433,True
69126,37,37 - Wiesloch,0.009474,False
69126,41,41 - Sinsheim,0.002093,False
69151,34,34 - Heidelberg,0.001882,False
69151,41,41 - Sinsheim,0.998118,True
69168,37,37 - Wiesloch,0.999753,True
69168,41,41 - Sinsheim,0.000247,False
69181,34,34 - Heidelberg,0.004426,False
69181,37,37 - Wiesloch,0.99446,True
69181,41,41 - Sinsheim,0.001114,False
69190,37,37 - Wiesloch,0.99925,True
69190,40,40 - Schwetzingen,0.00075,False
69198,34,34 - Heidelberg,0.000214,False
69198,39,39 - Weinheim,0.992109,True
69198,41,41 - Sinsheim,0.007677,False
69207,34,34 - Heidelberg,0.002617,False
69207,37,37 - Wiesloch,0.987147,True
69207,40,40 - Schwetzingen,0.010236,False
69214,34,34 - Heidelberg,0.069572,False
69214,40,40 - Schwetzingen,0.930428,True
69221,34,34 - Heidelberg,0.007176,False
69221,39,39 - Weinheim,0.992824,True
69226,37,37 - Wiesloch,1.0,True
69231,37,37 - Wiesloch,1.0,True
69234,37,37 - Wiesloch,0.992841,True
69234,41,41 - Sinsheim,0.007159,False
69239,41,41 - Sinsheim,1.0,True
69242,29,29 - Bruchsal,0.008004,False
69242,37,37 - Wiesloch,0.988868,True
69242,41,41 - Sinsheim,0.003128,False
69245,34,34 - Heidelberg,0.000416,False
69245,37,37 - Wiesloch,0.00359,False
69245,41,41 - Sinsheim,0.995994,True
69250,34,34 - Heidelberg,0.001308,False
69250,41,41 - Sinsheim,0.998692,True
69251,34,34 - Heidelberg,0.013929,False
69251,37,37 - Wiesloch,0.015383,False
69251,41,41 - Sinsheim,0.970688,True
69253,39,39 - Weinheim,0.002143,False
69253,41,41 - Sinsheim,0.997857,True
69254,29,29 - Bruchsal,0.006395,False
69254,37,37 - Wiesloch,0.993605,True
69256,37,37 - Wiesloch,0.001858,False
69256,41,41 - Sinsheim,0.998142,True
69257,41,41 - Sinsheim,1.0,True
69259,34,34 - Heidelberg,0.001985,False
69259,39,39 - Weinheim,0.192003,False
69259,41,41 - Sinsheim,0.806012,True
69412,38,38 - Neckar-Odenwald,0.004334,False
69412,41,41 - Sinsheim,0.995666,True
69427,38,38 - Neckar-Odenwald,0.999726,True
69427,41,41 - Sinsheim,0.000274,False
69429,38,38 - Neckar-Odenwald,0.993387,True
69429,41,41 - Sinsheim,0.006613,False
69434,41,41 - Sinsheim,1.0,True
69436,38,38 - Neckar-Odenwald,0.001946,False
69436,41,41 - Sinsheim,0.998054,True
69437,38,38 - Neckar-Odenwald,1.0,True
69439,38,38 - Neckar-Odenwald,0.995616,True
69439,41,41 - Sinsheim,0.004384,False
69469,39,39 - Weinheim,0.999456,True
69469,41,41 - Sinsheim,0.000544,False
69483,41,41 - Sinsheim,1.0,True
69488,39,39 - Weinheim,1.0,True
69493,39,39 - Weinheim,1.0,True
69502,39,39 - Weinheim,1.0,True
69509,39,39 - Weinheim,1.0,True
69514,39,39 - Weinheim,1.0,True
69517,39,39 - Weinheim,0.987394,True
69517,41,41 - Sinsheim,0.012606,False
69518,41,41 - Sinsheim,1.0,True
70173,1,01 - Stuttgart I,0.25,True
70173,2,02 - Stuttgart II,0.25,False
70173,3,03 - Stuttgart III,0.25,False
70173,4,04 - Stuttgart IV,0.25,False
70174,1,01 - Stuttgart I,0.25,True
70174,2,02 - Stuttgart II,0.25,False
70174,3,03 - Stuttgart III,0.25,False
70174,4,04 - Stuttgart IV,0.25,False
70176,1,01 - Stuttgart I,0.25,True
70176,2,02 - Stuttgart II,0.25,False
70176,3,03 - Stuttgart III,0.25,False
70176,4,04 - Stuttgart IV,0.25,False
70178,1,01 - Stuttgart I,0.25,True
70178,2,02 - Stuttgart II,0.25,False
70178,3,03 - Stuttgart III,0.25,False
70178,4,04 - Stuttgart IV,0.25,False
70180,1,01 - Stuttgart I,0.25,True
70180,2,02 - Stuttgart II,0.25,False
70180,3,03 - Stuttgart III,0.25,False
70180,4,04 - Stuttgart IV,0.25,False
70182,1,01 - Stuttgart I,0.25,True
70182,2,02 - Stuttgart II,0.25,False
70182,3,03 - Stuttgart III,0.25,False
70182,4,04 - Stuttgart IV,0.25,False
70184,1,01 - Stuttgart I,0.25,True
70184,2,02 - Stuttgart II,0.25,False
70184,3,03 - Stuttgart III,0.25,False
70184,4,04 - Stuttgart IV,0.25,False
70186,1,01 - Stuttgart I,0.25,True
70186,2,02 - Stuttgart II,0.25,False
70186,3,03 - Stuttgart III,0.25,False
70186,4,04 - Stuttgart IV,0.25,False
70188,1,01 - Stuttgart I,0.25,True
70188,2,02 - Stuttgart II,0.25,False
70188,3,03 - Stuttgart III,0.25,False
70188,4,04 - Stuttgart IV,0.25,False
70190,1,01 - Stuttgart I,0.25,True
70190,2,02 - Stuttgart II,0.25,False
70190,3,03 - Stuttgart III,0.25,False
70190,4,04 - Stuttgart IV,0.25,False
70191,1,01 - Stuttgart I,0.25,True
70191,2,02 - Stuttgart II,0.25,False
70191,3,03 - Stuttgart III,0.25,False
70191,4,04 - Stuttgart IV,0.25,False
70192,1,01 - Stuttgart I,0.25,True
70192,2,02 - Stuttgart II,0.25,False
70192,3,03 - Stuttgart III,0.25,False
70192,4,04 - Stuttgart IV,0.25,False
70193,1,01 - Stuttgart I,0.25,True
70193,2,02 - Stuttgart II,0.25,False
70193,3,03 - Stuttgart III,0.25,False
70193,4,04 - Stuttgart IV,0.25,False
70195,1,01 - Stuttgart I,0.25,True
70195,2,02 - Stuttgart II,0.25,False
70195,3,03 - Stuttgart III,0.25,False
70195,4,04 - Stuttgart IV,0.25,False
70197,1,01 - Stuttgart I,0.249926,True
70197,2,02 - Stuttgart II,0.249926,False
70197,3,03 - Stuttgart III,0.249926,False
70197,4,04 - Stuttgart IV,0.249926,False
70197,13,13 - Vaihingen,0.000296,False
70199,1,01 - Stuttgart I,0.25,True
70199,2,02 - Stuttgart II,0.25,False
70199,3,03 - Stuttgart III,0.25,False
70199,4,04 - Stuttgart IV,0.25,False
70327,1,01 - Stuttgart I,0.249585,True
70327,2,02 - Stuttgart II,0.249585,False
70327,3,03 - Stuttgart III,0.249585,False
70327,4,04 - Stuttgart IV,0.249585,False
70327,7,07 - Esslingen,0.000369,False
70327,15,15 - Waiblingen,0.00109,False
70327,16,16 - Schorndorf,0.0002,False
70329,1,01 - Stuttgart I,0.249681,True
70329,2,02 - Stuttgart II,0.249681,False
70329,3,03 - Stuttgart III,0.249681,False
70329,4,04 - Stuttgart IV,0.249681,False
70329,7,07 - Esslingen,0.001274,False
70372,1,01 - Stuttgart I,0.25,True
70372,2,02 - Stuttgart II,0.25,False
70372,3,03 - Stuttgart III,0.25,False
70372,4,04 - Stuttgart IV,0.25,False
70374,1,01 - Stuttgart I,0.249657,True
70374,2,02 - Stuttgart II,0.249657,False
70374,3,03 - Stuttgart III,0.249657,False
70374,4,04 - Stuttgart IV,0.249657,False
70374,15,15 - Waiblingen,0.00137,False
70376,1,01 - Stuttgart I,0.25,True
70376,2,02 - Stuttgart II,0.25,False
70376,3,03 - Stuttgart III,0.25,False
70376,4,04 - Stuttgart IV,0.25,False
70378,1,01 - Stuttgart I,0.243037,True
70378,2,02 - Stuttgart II,0.243037,False
