plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
10115,101,"Charité, Oranienburger Tor",0.496268,True
10115,102,"Alexanderplatz, Engelbecken",0.496268,False
10115,106,Soldiner Straße,0.007464,False
10117,101,"Charité, Oranienburger Tor",0.5,True
10117,102,"Alexanderplatz, Engelbecken",0.5,False
10119,101,"Charité, Oranienburger Tor",0.332549,True
10119,102,"Alexanderplatz, Engelbecken",0.332549,False
10119,306,"Esplanade, Schönhauser Allee",0.111634,False
10119,307,Prenzlauer Berg West,0.111634,False
10119,308,Prenzlauer Berg Südost,0.111634,False
10178,101,"Charité, Oranienburger Tor",0.5,True
10178,102,"Alexanderplatz, Engelbecken",0.5,False
10179,101,"Charité, Oranienburger Tor",0.489032,True
10179,102,"Alexanderplatz, Engelbecken",0.489032,False
10179,203,"Skalitzer Straße, Stralauer Halbinsel",0.007463,False
10179,204,Warschauer Straße,0.007237,False
10179,205,Petersburger Straße,0.007237,False
10243,203,"Skalitzer Straße, Stralauer Halbinsel",0.333343,True
10243,204,Warschauer Straße,0.333328,False
10243,205,Petersburger Straße,0.333328,False
10245,203,"Skalitzer Straße, Stralauer Halbinsel",0.333374,True
10245,204,Warschauer Straße,0.333313,False
10245,205,Petersburger Straße,0.333313,False
10247,203,"Skalitzer Straße, Stralauer Halbinsel",0.286363,True
10247,204,Warschauer Straße,0.286363,False
10247,205,Petersburger Straße,0.286363,False
10247,306,"Esplanade, Schönhauser Allee",0.04697,False
10247,307,Prenzlauer Berg West,0.04697,False
10247,308,Prenzlauer Berg Südost,0.04697,False
10249,203,"Skalitzer Straße, Stralauer Halbinsel",0.28749,True
10249,204,Warschauer Straße,0.28749,False
10249,205,Petersburger Straße,0.28749,False
10249,306,"Esplanade, Schönhauser Allee",0.045844,False
10249,307,Prenzlauer Berg West,0.045844,False
10249,308,Prenzlauer Berg Südost,0.045844,False
10315,1101,Friedrichsfelde,0.459591,True
10315,1102,"Rummelsburg, Lichtenberg",0.276238,False
10315,1105,Fennpfuhl,0.26417,False
10317,1102,"Rummelsburg, Lichtenberg",1.0,True
10318,1102,"Rummelsburg, Lichtenberg",0.031877,False
10318,1103,Karlshorst,0.968123,True
10319,1101,Friedrichsfelde,1.0,True
10365,1102,"Rummelsburg, Lichtenberg",0.500172,True
10365,1105,Fennpfuhl,0.499828,False
10367,1102,"Rummelsburg, Lichtenberg",0.396724,False
10367,1105,Fennpfuhl,0.603276,True
10369,306,"Esplanade, Schönhauser Allee",0.010207,False
10369,307,Prenzlauer Berg West,0.010207,False
10369,308,Prenzlauer Berg Südost,0.010207,False
10369,1105,Fennpfuhl,0.969379,True
10405,306,"Esplanade, Schönhauser Allee",0.333333,True
10405,307,Prenzlauer Berg West,0.333333,False
10405,308,Prenzlauer Berg Südost,0.333333,False
10407,203,"Skalitzer Straße, Stralauer Halbinsel",0.012196,False
10407,204,Warschauer Straße,0.012196,False
10407,205,Petersburger Straße,0.012196,False
10407,306,"Esplanade, Schönhauser Allee",0.321137,True
10407,307,Prenzlauer Berg West,0.321137,False
10407,308,Prenzlauer Berg Südost,0.321137,False
10409,306,"Esplanade, Schönhauser Allee",0.333333,True
10409,307,Prenzlauer Berg West,0.333333,False
10409,308,Prenzlauer Berg Südost,0.333333,False
