plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
01561,37,Elbe-Elster II,0.219033,False
01561,38,Oberspreewald-Lausitz I,0.780967,True
01609,37,Elbe-Elster II,1.0,True
01616,37,Elbe-Elster II,1.0,True
01619,37,Elbe-Elster II,1.0,True
01936,38,Oberspreewald-Lausitz I,1.0,True
01945,37,Elbe-Elster II,9.7e-05,False
01945,38,Oberspreewald-Lausitz I,0.943176,True
01945,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.056726,False
01968,38,Oberspreewald-Lausitz I,0.113054,False
01968,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.886946,True
01979,36,Elbe-Elster I,0.002358,False
01979,37,Elbe-Elster II,0.000608,False
01979,38,Oberspreewald-Lausitz I,0.997034,True
01983,36,Elbe-Elster I,0.000548,False
01983,38,Oberspreewald-Lausitz I,0.000934,False
01983,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.998518,True
01987,38,Oberspreewald-Lausitz I,0.99943,True
01987,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.00057,False
01990,37,Elbe-Elster II,0.002304,False
01990,38,Oberspreewald-Lausitz I,0.997696,True
01993,38,Oberspreewald-Lausitz I,1.0,True
01994,36,Elbe-Elster I,0.000218,False
01994,38,Oberspreewald-Lausitz I,0.985305,True
01994,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.014477,False
01996,38,Oberspreewald-Lausitz I,0.003123,False
01996,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.996877,True
01998,36,Elbe-Elster I,0.000576,False
01998,38,Oberspreewald-Lausitz I,0.999424,True
02953,42,Spree-Neiße II,1.0,True
02959,42,Spree-Neiße II,1.0,True
02979,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.237016,False
02979,42,Spree-Neiße II,0.762984,True
02991,38,Oberspreewald-Lausitz I,0.152213,False
02991,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.847787,True
02994,38,Oberspreewald-Lausitz I,1.0,True
03042,42,Spree-Neiße II,6e-06,False
03042,43,Cottbus I,0.499997,True
03042,44,Cottbus II,0.499997,False
03044,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.000829,False
03044,43,Cottbus I,0.499585,True
03044,44,Cottbus II,0.499585,False
03046,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.00133,False
03046,43,Cottbus I,0.499335,True
03046,44,Cottbus II,0.499335,False
03048,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.016028,False
03048,43,Cottbus I,0.491986,True
03048,44,Cottbus II,0.491986,False
03050,43,Cottbus I,0.5,True
03050,44,Cottbus II,0.5,False
03051,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.000231,False
03051,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.000203,False
03051,42,Spree-Neiße II,0.004367,False
03051,43,Cottbus I,0.4976,True
03051,44,Cottbus II,0.4976,False
03052,41,Spree-Neiße I,0.000592,False
03052,42,Spree-Neiße II,0.01027,False
03052,43,Cottbus I,0.494569,True
03052,44,Cottbus II,0.494569,False
03053,41,Spree-Neiße I,0.004046,False
03053,43,Cottbus I,0.497977,True
03053,44,Cottbus II,0.497977,False
03054,41,Spree-Neiße I,0.003273,False
03054,43,Cottbus I,0.498363,True
03054,44,Cottbus II,0.498363,False
03055,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.001377,False
03055,41,Spree-Neiße I,0.000235,False
03055,43,Cottbus I,0.499194,True
03055,44,Cottbus II,0.499194,False
03058,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.000162,False
03058,42,Spree-Neiße II,0.994944,True
03058,43,Cottbus I,0.002447,False
03058,44,Cottbus II,0.002447,False
03096,28,Dahme-Spreewald III,0.000814,False
03096,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.996148,True
03096,41,Spree-Neiße I,0.000224,False
03096,43,Cottbus I,0.001407,False
03096,44,Cottbus II,0.001407,False
03099,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.002169,False
03099,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.995745,True
03099,43,Cottbus I,0.001043,False
03099,44,Cottbus II,0.001043,False
03103,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.999487,True
03103,42,Spree-Neiße II,0.000513,False
03116,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.99797,True
03116,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.000442,False
03116,42,Spree-Neiße II,0.00146,False
03116,43,Cottbus I,6.4e-05,False
03116,44,Cottbus II,6.4e-05,False
03119,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.001022,False
03119,42,Spree-Neiße II,0.998978,True
03130,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.001066,False
03130,42,Spree-Neiße II,0.998934,True
03149,41,Spree-Neiße I,0.594199,True
03149,42,Spree-Neiße II,0.405735,False
03149,43,Cottbus I,3.3e-05,False
03149,44,Cottbus II,3.3e-05,False
03159,41,Spree-Neiße I,0.000362,False
03159,42,Spree-Neiße II,0.999638,True
03172,28,Dahme-Spreewald III,0.00103,False
03172,29,Oder-Spree II,0.000623,False
03172,41,Spree-Neiße I,0.998347,True
03185,28,Dahme-Spreewald III,0.000199,False
03185,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.000119,False
03185,41,Spree-Neiße I,0.996235,True
03185,42,Spree-Neiße II,2e-06,False
03185,43,Cottbus I,0.001723,False
03185,44,Cottbus II,0.001723,False
03197,41,Spree-Neiße I,1.0,True
03205,28,Dahme-Spreewald III,0.000634,False
03205,36,Elbe-Elster I,0.000626,False
03205,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.192394,False
03205,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.806346,True
03222,28,Dahme-Spreewald III,0.001127,False
03222,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.998873,True
03226,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.000317,False
03226,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.999683,True
03229,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.99934,True
03229,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.00066,False
03238,36,Elbe-Elster I,0.715607,True
03238,37,Elbe-Elster II,0.283492,False
03238,38,Oberspreewald-Lausitz I,0.000678,False
03238,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,0.000223,False
03246,28,Dahme-Spreewald III,0.001747,False
03246,36,Elbe-Elster I,0.997797,True
03246,39,Oberspreewald-Lausitz II/ Spree-Neiße IV,3.5e-05,False
03246,40,Oberspreewald-Lausitz III/ Spree-Neiße III,0.000421,False
03249,28,Dahme-Spreewald III,0.000468,False
03249,36,Elbe-Elster I,0.999011,True
03249,37,Elbe-Elster II,0.000521,False
03253,36,Elbe-Elster I,0.001683,False
03253,37,Elbe-Elster II,0.998317,True
04758,37,Elbe-Elster II,1.0,True
04874,37,Elbe-Elster II,1.0,True
04886,36,Elbe-Elster I,0.773963,True
04886,37,Elbe-Elster II,0.226037,False
04895,36,Elbe-Elster I,0.662359,True
04895,37,Elbe-Elster II,0.337641,False
04910,37,Elbe-Elster II,1.0,True
04916,24,Teltow-Fläming II,0.000456,False
04916,36,Elbe-Elster I,0.999544,True
04924,36,Elbe-Elster I,0.44178,False
04924,37,Elbe-Elster II,0.55822,True
04928,37,Elbe-Elster II,0.998677,True
04928,38,Oberspreewald-Lausitz I,0.001323,False
04931,36,Elbe-Elster I,7.7e-05,False
04931,37,Elbe-Elster II,0.999923,True
04932,37,Elbe-Elster II,0.999604,True
04932,38,Oberspreewald-Lausitz I,0.000396,False
04934,37,Elbe-Elster II,0.99994,True
04934,38,Oberspreewald-Lausitz I,6e-05,False
04936,24,Teltow-Fläming II,0.0007,False
04936,28,Dahme-Spreewald III,0.000178,False
04936,36,Elbe-Elster I,0.998724,True
04936,37,Elbe-Elster II,0.000398,False
04938,36,Elbe-Elster I,0.999002,True
04938,37,Elbe-Elster II,0.000998,False
06868,18,Potsdam-Mittelmark II,1.0,True
06869,18,Potsdam-Mittelmark II,1.0,True
06889,18,Potsdam-Mittelmark II,0.871942,True
06889,24,Teltow-Fläming II,0.128058,False
06895,24,Teltow-Fläming II,1.0,True
06917,24,Teltow-Fläming II,0.617494,True
06917,36,Elbe-Elster I,0.382506,False
06925,36,Elbe-Elster I,1.0,True
12207,20,Potsdam-Mittelmark IV,0.644685,True
12207,23,Teltow-Fläming I,0.355315,False
12209,23,Teltow-Fläming I,1.0,True
12277,23,Teltow-Fläming I,1.0,True
12279,23,Teltow-Fläming I,1.0,True
12307,23,Teltow-Fläming I,0.741716,True
12307,25,Teltow-Fläming III,0.258284,False
12309,25,Teltow-Fläming III,0.933928,True
12309,26,Dahme-Spreewald I,0.066072,False
12349,26,Dahme-Spreewald I,1.0,True
12353,26,Dahme-Spreewald I,1.0,True
12355,26,Dahme-Spreewald I,1.0,True
12524,26,Dahme-Spreewald I,1.0,True
12526,26,Dahme-Spreewald I,1.0,True
12527,26,Dahme-Spreewald I,0.714371,True
12527,27,Dahme-Spreewald II/ Oder-Spree I,0.285629,False
12529,25,Teltow-Fläming III,0.001588,False
12529,26,Dahme-Spreewald I,0.998412,True
12559,27,Dahme-Spreewald II/ Oder-Spree I,0.452673,False
12559,31,Märkisch-Oderland I/ Oder-Spree IV,0.547327,True
12587,31,Märkisch-Oderland I/ Oder-Spree IV,1.0,True
12589,31,Märkisch-Oderland I/ Oder-Spree IV,1.0,True
12623,31,Märkisch-Oderland I/ Oder-Spree IV,1.0,True
12627,15,Barnim III,0.268441,False
12627,31,Märkisch-Oderland I/ Oder-Spree IV,0.731559,True
12629,15,Barnim III,1.0,True
12679,15,Barnim III,1.0,True
12681,15,Barnim III,1.0,True
12685,15,Barnim III,1.0,True
12689,15,Barnim III,1.0,True
13051,15,Barnim III,1.0,True
13057,15,Barnim III,1.0,True
13059,15,Barnim III,1.0,True
13125,14,Barnim II,0.724966,True
13125,15,Barnim III,0.275034,False
13127,15,Barnim III,1.0,True
13159,8,Oberhavel II,0.407772,False
13159,15,Barnim III,0.592228,True
13465,8,Oberhavel II,1.0,True
13467,8,Oberhavel II,1.0,True
13469,8,Oberhavel II,1.0,True
13503,7,Oberhavel I,0.814365,True
13503,8,Oberhavel II,0.185635,False
13505,7,Oberhavel I,1.0,True
13587,6,Havelland II,0.613319,True
13587,7,Oberhavel I,0.386681,False
13589,6,Havelland II,1.0,True
13591,6,Havelland II,1.0,True
13593,6,Havelland II,1.0,True
14089,19,Potsdam-Mittelmark III/ Potsdam III,0.333333,True
14089,21,Potsdam I,0.333333,False
14089,22,Potsdam II,0.333333,False
14109,19,Potsdam-Mittelmark III/ Potsdam III,0.309637,True
14109,20,Potsdam-Mittelmark IV,0.07109,False
14109,21,Potsdam I,0.309637,False
14109,22,Potsdam II,0.309637,False
14129,20,Potsdam-Mittelmark IV,1.0,True
14165,20,Potsdam-Mittelmark IV,1.0,True
14167,20,Potsdam-Mittelmark IV,1.0,True
14467,19,Potsdam-Mittelmark III/ Potsdam III,0.333333,True
14467,21,Potsdam I,0.333333,False
14467,22,Potsdam II,0.333333,False
14469,19,Potsdam-Mittelmark III/ Potsdam III,0.333472,True
14469,21,Potsdam I,0.333264,False
14469,22,Potsdam II,0.333264,False
14471,18,Potsdam-Mittelmark II,0.002517,False
14471,19,Potsdam-Mittelmark III/ Potsdam III,0.332494,True
14471,21,Potsdam I,0.332494,False
14471,22,Potsdam II,0.332494,False
14473,18,Potsdam-Mittelmark II,0.002083,False
14473,19,Potsdam-Mittelmark III/ Potsdam III,0.332599,True
14473,20,Potsdam-Mittelmark IV,0.000118,False
14473,21,Potsdam I,0.332599,False
14473,22,Potsdam II,0.332599,False
14476,5,Havelland I,0.001099,False
14476,6,Havelland II,0.000488,False
14476,18,Potsdam-Mittelmark II,2.7e-05,False
14476,19,Potsdam-Mittelmark III/ Potsdam III,0.332954,True
14476,21,Potsdam I,0.332716,False
