plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
20095,1,Hamburg-Mitte,1.0,True
20097,1,Hamburg-Mitte,1.0,True
20099,1,Hamburg-Mitte,1.0,True
20144,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,1.0,True
20146,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,1.0,True
20148,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,1.0,True
20149,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,1.0,True
20249,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,0.036877,False
20249,8,Eppendorf – Winterhude – Hoheluft-Ost,0.963123,True
20251,8,Eppendorf – Winterhude – Hoheluft-Ost,1.0,True
20253,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,0.943705,True
20253,7,Lokstedt – Niendorf – Schnelsen,0.021525,False
20253,8,Eppendorf – Winterhude – Hoheluft-Ost,0.03477,False
20255,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,0.325031,False
20255,6,Eidelstedt – Stellingen – Eimsbüttel-West,0.62623,True
20255,7,Lokstedt – Niendorf – Schnelsen,0.048739,False
20257,3,Altona,0.081551,False
20257,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,0.081296,False
20257,6,Eidelstedt – Stellingen – Eimsbüttel-West,0.837152,True
20259,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,1.0,True
20354,1,Hamburg-Mitte,0.498777,False
20354,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,0.501223,True
20355,1,Hamburg-Mitte,1.0,True
20357,1,Hamburg-Mitte,0.346143,False
20357,3,Altona,0.355242,True
20357,5,Rotherbaum – Harvestehude – Eimsbüttel-Ost,0.298615,False
20359,1,Hamburg-Mitte,0.864152,True
20359,3,Altona,0.135848,False
20457,1,Hamburg-Mitte,0.181959,False
20457,2,Billstedt – Wilhelmsburg – Finkenwerder,0.818041,True
20459,1,Hamburg-Mitte,1.0,True
20535,1,Hamburg-Mitte,1.0,True
20537,1,Hamburg-Mitte,1.0,True
20539,1,Hamburg-Mitte,0.017486,False
20539,2,Billstedt – Wilhelmsburg – Finkenwerder,0.982514,True
21029,15,Bergedorf,1.0,True
21031,15,Bergedorf,1.0,True
21033,15,Bergedorf,1.0,True
21035,15,Bergedorf,1.0,True
21037,15,Bergedorf,1.0,True
21039,15,Bergedorf,1.0,True
21073,16,Harburg,1.0,True
21075,16,Harburg,0.116826,False
21075,17,Süderelbe,0.883174,True
21077,16,Harburg,0.611963,True
21077,17,Süderelbe,0.388037,False
21079,16,Harburg,0.632826,True
21079,17,Süderelbe,0.367174,False
21107,2,Billstedt – Wilhelmsburg – Finkenwerder,1.0,True
21109,2,Billstedt – Wilhelmsburg – Finkenwerder,1.0,True
21129,2,Billstedt – Wilhelmsburg – Finkenwerder,0.474056,False
21129,17,Süderelbe,0.525944,True
21147,17,Süderelbe,1.0,True
21149,17,Süderelbe,1.0,True
21217,15,Bergedorf,1.0,True
21218,16,Harburg,1.0,True
21224,17,Süderelbe,1.0,True
21423,15,Bergedorf,1.0,True
21435,15,Bergedorf,1.0,True
21465,15,Bergedorf,1.0,True
21629,17,Süderelbe,1.0,True
21635,17,Süderelbe,1.0,True
22041,11,Wandsbek,1.0,True
22043,11,Wandsbek,1.0,True
22045,11,Wandsbek,1.0,True
22047,11,Wandsbek,0.984015,True
22047,12,Bramfeld – Farmsen-Berne – Steilshoop,0.015985,False
22049,9,Barmbek – Uhlenhorst – Dulsberg,0.55086,True
22049,11,Wandsbek,0.44914,False
22081,9,Barmbek – Uhlenhorst – Dulsberg,1.0,True
22083,9,Barmbek – Uhlenhorst – Dulsberg,1.0,True
22085,9,Barmbek – Uhlenhorst – Dulsberg,1.0,True
22087,1,Hamburg-Mitte,0.010148,False
22087,9,Barmbek – Uhlenhorst – Dulsberg,0.989852,True
22089,11,Wandsbek,1.0,True
22111,1,Hamburg-Mitte,0.84325,True
22111,2,Billstedt – Wilhelmsburg – Finkenwerder,0.15675,False
22113,2,Billstedt – Wilhelmsburg – Finkenwerder,0.482187,False
22113,15,Bergedorf,0.517813,True
22115,2,Billstedt – Wilhelmsburg – Finkenwerder,0.988489,True
22115,15,Bergedorf,0.011511,False
22117,2,Billstedt – Wilhelmsburg – Finkenwerder,1.0,True
22119,1,Hamburg-Mitte,0.357245,False
22119,2,Billstedt – Wilhelmsburg – Finkenwerder,0.642755,True
22143,14,Rahlstedt,1.0,True
22145,14,Rahlstedt,1.0,True
