plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
34117,3,Wahlkreis 3,0.5,True
34117,4,Wahlkreis 4,0.5,False
34119,3,Wahlkreis 3,0.5,True
34119,4,Wahlkreis 4,0.5,False
34121,3,Wahlkreis 3,0.5,True
34121,4,Wahlkreis 4,0.5,False
34123,2,Wahlkreis 2,0.045945,False
34123,3,Wahlkreis 3,0.477027,True
34123,4,Wahlkreis 4,0.477027,False
34125,1,Wahlkreis 1,0.006984,False
34125,2,Wahlkreis 2,0.000951,False
34125,3,Wahlkreis 3,0.496032,True
34125,4,Wahlkreis 4,0.496032,False
34127,1,Wahlkreis 1,0.044699,False
34127,2,Wahlkreis 2,0.001128,False
34127,3,Wahlkreis 3,0.477086,True
34127,4,Wahlkreis 4,0.477086,False
34128,1,Wahlkreis 1,0.0004,False
34128,2,Wahlkreis 2,0.002273,False
34128,3,Wahlkreis 3,0.498664,True
34128,4,Wahlkreis 4,0.498664,False
34130,3,Wahlkreis 3,0.5,True
34130,4,Wahlkreis 4,0.5,False
34131,1,Wahlkreis 1,0.001482,False
34131,3,Wahlkreis 3,0.499141,True
34131,4,Wahlkreis 4,0.499141,False
34131,7,Wahlkreis 7,0.000235,False
34132,2,Wahlkreis 2,0.02306,False
34132,3,Wahlkreis 3,0.48575,True
34132,4,Wahlkreis 4,0.48575,False
34132,7,Wahlkreis 7,0.00544,False
34134,2,Wahlkreis 2,0.021517,False
34134,3,Wahlkreis 3,0.489241,True
34134,4,Wahlkreis 4,0.489241,False
34212,2,Wahlkreis 2,0.0002,False
34212,7,Wahlkreis 7,0.999319,True
34212,9,Wahlkreis 9,0.000481,False
34225,2,Wahlkreis 2,0.988212,True
34225,3,Wahlkreis 3,2e-06,False
34225,4,Wahlkreis 4,2e-06,False
34225,7,Wahlkreis 7,0.011784,False
34233,1,Wahlkreis 1,0.994002,True
34233,2,Wahlkreis 2,0.004184,False
34233,3,Wahlkreis 3,0.000907,False
34233,4,Wahlkreis 4,0.000907,False
34246,1,Wahlkreis 1,0.004541,False
34246,2,Wahlkreis 2,0.986899,True
34246,3,Wahlkreis 3,0.00428,False
34246,4,Wahlkreis 4,0.00428,False
34253,2,Wahlkreis 2,0.971047,True
34253,3,Wahlkreis 3,0.014476,False
34253,4,Wahlkreis 4,0.014476,False
34260,2,Wahlkreis 2,0.997282,True
34260,9,Wahlkreis 9,0.002718,False
34266,2,Wahlkreis 2,0.987248,True
34266,3,Wahlkreis 3,0.006373,False
