plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
16306,36,Vorpommern-Greifswald V,1.0,True
16307,36,Vorpommern-Greifswald V,1.0,True
16798,21,Mecklenburgische Seenplatte IV,1.0,True
16831,21,Mecklenburgische Seenplatte IV,1.0,True
16837,20,Mecklenburgische Seenplatte III,1.0,True
16909,20,Mecklenburgische Seenplatte III,1.0,True
16945,31,Ludwigslust-Parchim IV,1.0,True
16949,31,Ludwigslust-Parchim IV,1.0,True
17033,2,Neubrandenburg I,0.617837,True
17033,3,Neubrandenburg II,0.367069,False
17033,22,Mecklenburgische Seenplatte V,0.015094,False
17034,3,Neubrandenburg II,1.0,True
17036,2,Neubrandenburg I,1.0,True
17039,22,Mecklenburgische Seenplatte V,1.0,True
17087,14,Mecklenburgische Seenplatte II,1.0,True
17089,14,Mecklenburgische Seenplatte II,1.0,True
17091,14,Mecklenburgische Seenplatte II,1.0,True
17094,22,Mecklenburgische Seenplatte V,1.0,True
17098,22,Mecklenburgische Seenplatte V,1.0,True
17099,22,Mecklenburgische Seenplatte V,1.0,True
17109,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald I,1.0,True
17111,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald I,1.0,True
17121,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald I,1.0,True
17126,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald I,1.0,True
17129,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald I,1.0,True
17139,14,Mecklenburgische Seenplatte II,1.0,True
17153,14,Mecklenburgische Seenplatte II,1.0,True
17154,14,Mecklenburgische Seenplatte II,1.0,True
17159,13,Mecklenburgische Seenplatte I – Vorpommern-Greifswald I,1.0,True
17166,15,Landkreis Rostock III,1.0,True
17168,15,Landkreis Rostock III,1.0,True
17179,15,Landkreis Rostock III,1.0,True
17192,20,Mecklenburgische Seenplatte III,1.0,True
17194,20,Mecklenburgische Seenplatte III,1.0,True
17207,20,Mecklenburgische Seenplatte III,1.0,True
17209,20,Mecklenburgische Seenplatte III,1.0,True
17213,20,Mecklenburgische Seenplatte III,1.0,True
17214,20,Mecklenburgische Seenplatte III,1.0,True
17217,22,Mecklenburgische Seenplatte V,1.0,True
17219,22,Mecklenburgische Seenplatte V,1.0,True
17235,21,Mecklenburgische Seenplatte IV,1.0,True
17237,21,Mecklenburgische Seenplatte IV,1.0,True
17248,20,Mecklenburgische Seenplatte III,1.0,True
17252,20,Mecklenburgische Seenplatte III,0.143612,False
17252,21,Mecklenburgische Seenplatte IV,0.856388,True
17255,21,Mecklenburgische Seenplatte IV,1.0,True
17258,21,Mecklenburgische Seenplatte IV,1.0,True
17268,21,Mecklenburgische Seenplatte IV,1.0,True
17279,21,Mecklenburgische Seenplatte IV,1.0,True
17291,22,Mecklenburgische Seenplatte V,1.0,True
17309,36,Vorpommern-Greifswald V,1.0,True
17321,36,Vorpommern-Greifswald V,1.0,True
17322,36,Vorpommern-Greifswald V,1.0,True
17326,36,Vorpommern-Greifswald V,1.0,True
17328,36,Vorpommern-Greifswald V,1.0,True
17329,36,Vorpommern-Greifswald V,1.0,True
17335,36,Vorpommern-Greifswald V,1.0,True
17337,22,Mecklenburgische Seenplatte V,0.663101,True
17337,36,Vorpommern-Greifswald V,0.336899,False
17348,22,Mecklenburgische Seenplatte V,1.0,True
17349,22,Mecklenburgische Seenplatte V,1.0,True
17358,35,Vorpommern-Greifswald IV,1.0,True
17367,35,Vorpommern-Greifswald IV,1.0,True
17373,35,Vorpommern-Greifswald IV,1.0,True
17375,35,Vorpommern-Greifswald IV,1.0,True
17379,35,Vorpommern-Greifswald IV,1.0,True
17389,29,Vorpommern-Greifswald II,1.0,True
17390,29,Vorpommern-Greifswald II,1.0,True
17391,29,Vorpommern-Greifswald II,1.0,True
17392,29,Vorpommern-Greifswald II,1.0,True
17398,29,Vorpommern-Greifswald II,1.0,True
17406,30,Vorpommern-Greifswald III,1.0,True
17419,30,Vorpommern-Greifswald III,1.0,True
17424,30,Vorpommern-Greifswald III,1.0,True
17429,30,Vorpommern-Greifswald III,1.0,True
17438,30,Vorpommern-Greifswald III,1.0,True
17440,30,Vorpommern-Greifswald III,1.0,True
17449,30,Vorpommern-Greifswald III,1.0,True
17454,30,Vorpommern-Greifswald III,1.0,True
17459,30,Vorpommern-Greifswald III,1.0,True
17489,1,Greifswald,0.989827,True
17489,29,Vorpommern-Greifswald II,0.010173,False
17491,1,Greifswald,0.985407,True
17491,29,Vorpommern-Greifswald II,0.014593,False
17493,1,Greifswald,0.988517,True
17493,29,Vorpommern-Greifswald II,0.011483,False
17495,29,Vorpommern-Greifswald II,1.0,True
17498,29,Vorpommern-Greifswald II,1.0,True
17506,29,Vorpommern-Greifswald II,1.0,True
17509,30,Vorpommern-Greifswald III,1.0,True
18055,6,Hansestadt Rostock III,0.016936,False
