plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
19249,47,Wahlkreis 47,1.0,True
19258,47,Wahlkreis 47,0.692683,True
19258,48,Wahlkreis 48,0.307317,False
19260,47,Wahlkreis 47,1.0,True
19273,47,Wahlkreis 47,1.0,True
19303,47,Wahlkreis 47,1.0,True
19309,47,Wahlkreis 47,1.0,True
21037,50,Wahlkreis 50,0.970588,True
21037,51,Wahlkreis 51,0.029412,False
21039,50,Wahlkreis 50,1.0,True
21075,51,Wahlkreis 51,1.0,True
21077,51,Wahlkreis 51,1.0,True
21079,51,Wahlkreis 51,1.0,True
21109,51,Wahlkreis 51,1.0,True
21129,51,Wahlkreis 51,0.1125,False
21129,55,Wahlkreis 55,0.8875,True
21147,51,Wahlkreis 51,1.0,True
21149,51,Wahlkreis 51,1.0,True
21217,50,Wahlkreis 50,0.000754,False
21217,51,Wahlkreis 51,0.999246,True
21218,51,Wahlkreis 51,0.99918,True
21218,52,Wahlkreis 52,0.00082,False
21220,50,Wahlkreis 50,0.007378,False
21220,51,Wahlkreis 51,0.992507,True
21220,52,Wahlkreis 52,0.000115,False
21224,51,Wahlkreis 51,0.995595,True
21224,52,Wahlkreis 52,0.004405,False
21227,50,Wahlkreis 50,0.00116,False
21227,51,Wahlkreis 51,0.000375,False
21227,52,Wahlkreis 52,0.998465,True
21228,51,Wahlkreis 51,0.006043,False
21228,52,Wahlkreis 52,0.993957,True
21244,50,Wahlkreis 50,0.000559,False
21244,51,Wahlkreis 51,0.000606,False
21244,52,Wahlkreis 52,0.998835,True
21255,43,Wahlkreis 43,0.000116,False
21255,52,Wahlkreis 52,0.999316,True
21255,53,Wahlkreis 53,0.000568,False
21256,43,Wahlkreis 43,2e-05,False
21256,50,Wahlkreis 50,0.001411,False
21256,52,Wahlkreis 52,0.998569,True
21258,52,Wahlkreis 52,0.999125,True
21258,54,Wahlkreis 54,0.000875,False
21259,43,Wahlkreis 43,0.001737,False
21259,52,Wahlkreis 52,0.998263,True
21261,43,Wahlkreis 43,0.001007,False
21261,52,Wahlkreis 52,0.998993,True
21266,50,Wahlkreis 50,0.00717,False
21266,51,Wahlkreis 51,0.00726,False
21266,52,Wahlkreis 52,0.98557,True
21271,50,Wahlkreis 50,0.998558,True
21271,52,Wahlkreis 52,0.001442,False
21272,43,Wahlkreis 43,0.001593,False
21272,48,Wahlkreis 48,0.000374,False
21272,50,Wahlkreis 50,0.998033,True
21274,43,Wahlkreis 43,0.000942,False
21274,50,Wahlkreis 50,0.998447,True
21274,52,Wahlkreis 52,0.000611,False
21279,51,Wahlkreis 51,0.000615,False
21279,52,Wahlkreis 52,0.999385,True
21335,48,Wahlkreis 48,0.000754,False
21335,49,Wahlkreis 49,0.999246,True
21337,48,Wahlkreis 48,0.000373,False
21337,49,Wahlkreis 49,0.999627,True
21339,48,Wahlkreis 48,0.004914,False
21339,49,Wahlkreis 49,0.995086,True
21354,47,Wahlkreis 47,0.998226,True
21354,48,Wahlkreis 48,0.000366,False
21354,49,Wahlkreis 49,0.001407,False
21357,48,Wahlkreis 48,0.995392,True
21357,49,Wahlkreis 49,0.003559,False
21357,50,Wahlkreis 50,0.001049,False
21358,48,Wahlkreis 48,1.0,True
21360,48,Wahlkreis 48,0.987886,True
21360,49,Wahlkreis 49,0.012114,False
21365,48,Wahlkreis 48,0.003112,False
21365,49,Wahlkreis 49,0.996888,True
21368,46,Wahlkreis 46,0.00051,False
21368,47,Wahlkreis 47,0.99915,True
21368,49,Wahlkreis 49,0.00034,False
21369,47,Wahlkreis 47,1.0,True
21371,47,Wahlkreis 47,1.0,True
21376,48,Wahlkreis 48,0.001144,False
21376,50,Wahlkreis 50,0.998856,True
21379,47,Wahlkreis 47,8.6e-05,False
21379,48,Wahlkreis 48,0.989073,True
21379,49,Wahlkreis 49,0.010841,False
21380,48,Wahlkreis 48,0.99763,True
21380,50,Wahlkreis 50,0.00237,False
21382,48,Wahlkreis 48,0.997205,True
21382,49,Wahlkreis 49,0.000754,False
21382,50,Wahlkreis 50,0.002041,False
21385,43,Wahlkreis 43,0.004664,False
21385,46,Wahlkreis 46,0.000413,False
21385,48,Wahlkreis 48,0.994719,True
21385,50,Wahlkreis 50,0.000204,False
21386,46,Wahlkreis 46,0.001372,False
21386,48,Wahlkreis 48,0.998628,True
21388,43,Wahlkreis 43,0.000521,False
21388,48,Wahlkreis 48,0.997787,True
21388,50,Wahlkreis 50,0.001692,False
21391,48,Wahlkreis 48,0.983642,True
21391,49,Wahlkreis 49,0.016227,False
21391,50,Wahlkreis 50,0.000131,False
21394,48,Wahlkreis 48,0.997219,True
21394,49,Wahlkreis 49,0.000562,False
21394,50,Wahlkreis 50,0.002219,False
21395,48,Wahlkreis 48,0.002298,False
21395,50,Wahlkreis 50,0.997702,True
21397,46,Wahlkreis 46,0.001117,False
21397,49,Wahlkreis 49,0.998883,True
21398,47,Wahlkreis 47,0.003876,False
21398,48,Wahlkreis 48,0.003548,False
21398,49,Wahlkreis 49,0.992576,True
21400,48,Wahlkreis 48,0.000279,False
21400,49,Wahlkreis 49,0.999721,True
21401,46,Wahlkreis 46,0.001341,False
21401,47,Wahlkreis 47,0.001946,False
21401,49,Wahlkreis 49,0.996713,True
21403,46,Wahlkreis 46,0.000827,False
21403,48,Wahlkreis 48,0.000703,False
21403,49,Wahlkreis 49,0.99847,True
21406,46,Wahlkreis 46,0.00199,False
21406,48,Wahlkreis 48,0.996381,True
21406,49,Wahlkreis 49,0.001629,False
21407,46,Wahlkreis 46,0.003048,False
21407,48,Wahlkreis 48,0.979237,True
21407,49,Wahlkreis 49,0.017715,False
21409,48,Wahlkreis 48,0.996443,True
21409,49,Wahlkreis 49,0.003557,False
21423,48,Wahlkreis 48,0.001689,False
21423,50,Wahlkreis 50,0.99825,True
21423,51,Wahlkreis 51,6.1e-05,False
21435,50,Wahlkreis 50,0.994159,True
21435,51,Wahlkreis 51,0.005841,False
21436,48,Wahlkreis 48,0.000927,False
