plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
31547,88,Minden-Lübbecke I,1.0,True
31592,88,Minden-Lübbecke I,1.0,True
31603,88,Minden-Lübbecke I,1.0,True
31604,88,Minden-Lübbecke I,1.0,True
31606,88,Minden-Lübbecke I,1.0,True
31633,88,Minden-Lübbecke I,1.0,True
31675,88,Minden-Lübbecke I,0.08949,False
31675,89,Minden-Lübbecke II,0.91051,True
31711,89,Minden-Lübbecke II,1.0,True
31715,88,Minden-Lübbecke I,1.0,True
31719,88,Minden-Lübbecke I,1.0,True
31737,89,Minden-Lübbecke II,0.176256,False
31737,98,Lippe II  Herford III,0.823744,True
31812,98,Lippe II  Herford III,1.0,True
31855,98,Lippe II  Herford III,1.0,True
32049,90,Herford  I,0.976492,True
32049,91,Herford II - Minden-Lübbecke III,0.001285,False
32049,97,Lippe I,0.001483,False
32049,98,Lippe II  Herford III,0.02074,False
32051,90,Herford  I,0.9799,True
32051,92,Bielefeld I,0.0067,False
32051,93,Bielefeld II,0.0067,False
32051,94,Gütersloh I - Bielefeld III,0.0067,False
32052,90,Herford  I,0.97609,True
32052,92,Bielefeld I,0.006694,False
32052,93,Bielefeld II,0.006694,False
32052,94,Gütersloh I - Bielefeld III,0.006694,False
32052,97,Lippe I,0.003827,False
32105,90,Herford  I,0.001217,False
32105,97,Lippe I,0.998783,True
32107,90,Herford  I,0.001099,False
32107,92,Bielefeld I,0.001126,False
32107,93,Bielefeld II,0.001126,False
32107,94,Gütersloh I - Bielefeld III,0.001126,False
32107,97,Lippe I,0.995522,True
32108,90,Herford  I,0.000209,False
32108,97,Lippe I,0.994338,True
32108,98,Lippe II  Herford III,0.005453,False
32120,90,Herford  I,0.998652,True
32120,91,Herford II - Minden-Lübbecke III,0.001348,False
32130,90,Herford  I,0.995058,True
32130,91,Herford II - Minden-Lübbecke III,0.000992,False
32130,92,Bielefeld I,0.001317,False
32130,93,Bielefeld II,0.001317,False
32130,94,Gütersloh I - Bielefeld III,0.001317,False
32139,90,Herford  I,0.993517,True
32139,91,Herford II - Minden-Lübbecke III,0.00061,False
32139,92,Bielefeld I,0.001444,False
32139,93,Bielefeld II,0.001444,False
32139,94,Gütersloh I - Bielefeld III,0.002984,False
32257,88,Minden-Lübbecke I,0.000129,False
32257,90,Herford  I,0.002333,False
32257,91,Herford II - Minden-Lübbecke III,0.997538,True
32278,88,Minden-Lübbecke I,0.00246,False
32278,90,Herford  I,0.003881,False
32278,91,Herford II - Minden-Lübbecke III,0.993659,True
32289,88,Minden-Lübbecke I,0.000877,False
32289,91,Herford II - Minden-Lübbecke III,0.999123,True
32312,88,Minden-Lübbecke I,1.0,True
32339,88,Minden-Lübbecke I,1.0,True
32351,88,Minden-Lübbecke I,1.0,True
32361,88,Minden-Lübbecke I,0.99861,True
32361,91,Herford II - Minden-Lübbecke III,0.00139,False
32369,88,Minden-Lübbecke I,1.0,True
32423,88,Minden-Lübbecke I,0.000745,False
32423,89,Minden-Lübbecke II,0.999255,True
32425,88,Minden-Lübbecke I,0.00449,False
32425,89,Minden-Lübbecke II,0.99551,True
32427,88,Minden-Lübbecke I,0.00178,False
32427,89,Minden-Lübbecke II,0.99822,True
32429,88,Minden-Lübbecke I,0.001639,False
32429,89,Minden-Lübbecke II,0.997506,True
32429,91,Herford II - Minden-Lübbecke III,0.000855,False
32457,89,Minden-Lübbecke II,0.998681,True
32457,91,Herford II - Minden-Lübbecke III,0.0004,False
32457,98,Lippe II  Herford III,0.000919,False
32469,88,Minden-Lübbecke I,0.999081,True
32469,89,Minden-Lübbecke II,0.000919,False
32479,88,Minden-Lübbecke I,0.998487,True
32479,89,Minden-Lübbecke II,0.001175,False
32479,91,Herford II - Minden-Lübbecke III,0.000338,False
32545,89,Minden-Lübbecke II,0.492715,False
32545,91,Herford II - Minden-Lübbecke III,0.503647,True
32545,98,Lippe II  Herford III,0.003638,False
32547,89,Minden-Lübbecke II,0.500245,True
32547,91,Herford II - Minden-Lübbecke III,0.499005,False
32547,98,Lippe II  Herford III,0.000749,False
32549,88,Minden-Lübbecke I,0.000634,False
32549,89,Minden-Lübbecke II,0.499618,False
32549,91,Herford II - Minden-Lübbecke III,0.499748,True
32584,88,Minden-Lübbecke I,0.000406,False
32584,89,Minden-Lübbecke II,0.002404,False
32584,90,Herford  I,0.001025,False
32584,91,Herford II - Minden-Lübbecke III,0.995598,True
32584,98,Lippe II  Herford III,0.000568,False
32602,89,Minden-Lübbecke II,0.003809,False
32602,90,Herford  I,0.001032,False
32602,91,Herford II - Minden-Lübbecke III,0.00307,False
32602,97,Lippe I,0.001839,False
32602,98,Lippe II  Herford III,0.99025,True
32609,88,Minden-Lübbecke I,0.996061,True
32609,89,Minden-Lübbecke II,0.000663,False
32609,91,Herford II - Minden-Lübbecke III,0.003277,False
32657,97,Lippe I,0.002662,False
32657,98,Lippe II  Herford III,0.996219,True
32657,99,Lippe III,0.001119,False
32676,98,Lippe II  Herford III,0.997844,True
32676,99,Lippe III,0.00125,False
32676,102,Höxter,0.000906,False
32683,98,Lippe II  Herford III,1.0,True
32689,89,Minden-Lübbecke II,0.000619,False
32689,98,Lippe II  Herford III,0.999381,True
32694,98,Lippe II  Herford III,1.0,True
32699,98,Lippe II  Herford III,1.0,True
32756,99,Lippe III,1.0,True
32758,97,Lippe I,0.002268,False
32758,98,Lippe II  Herford III,0.00358,False
32758,99,Lippe III,0.994152,True
32760,98,Lippe II  Herford III,0.000488,False
32760,99,Lippe III,0.999512,True
32791,97,Lippe I,0.997171,True
32791,98,Lippe II  Herford III,0.001018,False
32791,99,Lippe III,0.001811,False
32805,98,Lippe II  Herford III,0.000575,False
32805,99,Lippe III,0.995604,True
32805,100,Paderborn I,0.001025,False
32805,101,Paderborn II,0.000892,False
32805,102,Höxter,0.001903,False
32816,98,Lippe II  Herford III,0.003296,False
32816,99,Lippe III,0.993042,True
32816,102,Höxter,0.003662,False
32825,98,Lippe II  Herford III,0.997615,True
32825,99,Lippe III,0.002385,False
32832,96,Gütersloh III,0.000411,False
32832,97,Lippe I,0.000884,False
32832,99,Lippe III,0.998705,True
32839,99,Lippe III,0.002464,False
32839,102,Höxter,0.997536,True
33014,100,Paderborn I,0.000828,False
33014,101,Paderborn II,0.000702,False
33014,102,Höxter,0.99847,True
33034,102,Höxter,1.0,True
33039,99,Lippe III,0.000106,False
33039,102,Höxter,0.999894,True
33098,101,Paderborn II,1.0,True
33100,100,Paderborn I,0.004918,False
33100,101,Paderborn II,0.995082,True
33102,101,Paderborn II,1.0,True
33104,100,Paderborn I,0.004922,False
33104,101,Paderborn II,0.995078,True
33106,100,Paderborn I,0.003458,False
33106,101,Paderborn II,0.996542,True
33129,96,Gütersloh III,0.001663,False
33129,100,Paderborn I,0.997246,True
33129,101,Paderborn II,0.000633,False
33129,120,Soest II,0.000458,False
33142,100,Paderborn I,0.998,True
33142,120,Soest II,0.001801,False
33142,125,Hochsauerlandkreis II,0.000199,False
33154,100,Paderborn I,0.989966,True
33154,101,Paderborn II,0.008765,False
33154,120,Soest II,0.001269,False
33161,96,Gütersloh III,0.003877,False
33161,99,Lippe III,0.000371,False
33161,100,Paderborn I,0.992136,True
33161,101,Paderborn II,0.003616,False
33165,100,Paderborn I,0.998507,True
33165,101,Paderborn II,0.0005,False
33165,102,Höxter,0.000639,False
33165,125,Hochsauerlandkreis II,0.000355,False
33175,99,Lippe III,0.002977,False
33175,100,Paderborn I,0.992282,True
33175,101,Paderborn II,0.004741,False
33178,100,Paderborn I,0.997154,True
33178,101,Paderborn II,0.002846,False
33181,100,Paderborn I,0.997999,True
33181,125,Hochsauerlandkreis II,0.002001,False
33184,99,Lippe III,0.000184,False
33184,100,Paderborn I,0.499582,True
33184,101,Paderborn II,0.499185,False
33184,102,Höxter,0.00105,False
33189,96,Gütersloh III,1.4e-05,False
33189,99,Lippe III,0.999112,True
33189,100,Paderborn I,0.000874,False
33330,95,Gütersloh II,1.0,True
33332,95,Gütersloh II,1.0,True
33333,95,Gütersloh II,1.0,True
33334,92,Bielefeld I,0.002138,False
33334,93,Bielefeld II,0.002138,False
33334,94,Gütersloh I - Bielefeld III,0.002699,False
33334,95,Gütersloh II,0.991632,True
33334,96,Gütersloh III,0.001393,False
33335,92,Bielefeld I,0.001358,False
33335,93,Bielefeld II,0.001358,False
33335,94,Gütersloh I - Bielefeld III,0.001358,False
33335,95,Gütersloh II,0.994435,True
33335,96,Gütersloh III,0.00149,False
33378,86,Warendorf  I,0.000943,False
33378,95,Gütersloh II,0.002495,False
33378,96,Gütersloh III,0.996562,True
33397,95,Gütersloh II,0.00032,False
33397,96,Gütersloh III,0.998016,True
33397,100,Paderborn I,0.00113,False
33397,120,Soest II,0.000534,False
33415,92,Bielefeld I,0.000417,False
33415,93,Bielefeld II,0.000417,False
33415,94,Gütersloh I - Bielefeld III,0.000417,False
33415,95,Gütersloh II,0.002673,False
33415,96,Gütersloh III,0.995667,True
33415,100,Paderborn I,0.000411,False
33428,86,Warendorf  I,0.000473,False
33428,94,Gütersloh I - Bielefeld III,0.004358,False
33428,95,Gütersloh II,0.995169,True
33442,86,Warendorf  I,0.001622,False
33442,95,Gütersloh II,0.994973,True
33442,96,Gütersloh III,0.003405,False
33449,86,Warendorf  I,9.6e-05,False
33449,87,Warendorf  II,0.001179,False
33449,96,Gütersloh III,0.995178,True
33449,120,Soest II,0.003547,False
33602,92,Bielefeld I,0.333333,True
33602,93,Bielefeld II,0.333333,False
33602,94,Gütersloh I - Bielefeld III,0.333333,False
33604,92,Bielefeld I,0.333333,True
33604,93,Bielefeld II,0.333333,False
33604,94,Gütersloh I - Bielefeld III,0.333333,False
33605,92,Bielefeld I,0.333333,True
33605,93,Bielefeld II,0.333333,False
33605,94,Gütersloh I - Bielefeld III,0.333333,False
33607,92,Bielefeld I,0.333333,True
33607,93,Bielefeld II,0.333333,False
33607,94,Gütersloh I - Bielefeld III,0.333333,False
33609,92,Bielefeld I,0.333333,True
33609,93,Bielefeld II,0.333333,False
33609,94,Gütersloh I - Bielefeld III,0.333333,False
33611,92,Bielefeld I,0.333333,True
33611,93,Bielefeld II,0.333333,False
33611,94,Gütersloh I - Bielefeld III,0.333333,False
33613,92,Bielefeld I,0.333333,True
33613,93,Bielefeld II,0.333333,False
33613,94,Gütersloh I - Bielefeld III,0.333333,False
33615,92,Bielefeld I,0.333333,True
33615,93,Bielefeld II,0.333333,False
33615,94,Gütersloh I - Bielefeld III,0.333333,False
33617,92,Bielefeld I,0.333333,True
33617,93,Bielefeld II,0.333333,False
33617,94,Gütersloh I - Bielefeld III,0.333333,False
33619,92,Bielefeld I,0.333225,False
33619,93,Bielefeld II,0.333225,False
33619,94,Gütersloh I - Bielefeld III,0.333551,True
