plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
35759,1,Betzdorf / Kirchen (Sieg),1.0,True
35767,1,Betzdorf / Kirchen (Sieg),1.0,True
35794,1,Betzdorf / Kirchen (Sieg),1.0,True
51570,2,Altenkirchen (Westerwald),1.0,True
51580,1,Betzdorf / Kirchen (Sieg),1.0,True
51597,1,Betzdorf / Kirchen (Sieg),0.518403,True
51597,2,Altenkirchen (Westerwald),0.481597,False
51598,1,Betzdorf / Kirchen (Sieg),0.998456,True
51598,2,Altenkirchen (Westerwald),0.001544,False
53340,14,Bad Neuenahr-Ahrweiler,1.0,True
53359,14,Bad Neuenahr-Ahrweiler,1.0,True
53424,3,Linz am Rhein / Rengsdorf,1.0,True
53426,13,Remagen / Sinzig,0.996768,True
53426,14,Bad Neuenahr-Ahrweiler,0.003232,False
53474,13,Remagen / Sinzig,0.216047,False
53474,14,Bad Neuenahr-Ahrweiler,0.783953,True
53489,3,Linz am Rhein / Rengsdorf,0.045833,False
53489,13,Remagen / Sinzig,0.954167,True
53498,3,Linz am Rhein / Rengsdorf,0.001901,False
53498,13,Remagen / Sinzig,0.998099,True
53501,14,Bad Neuenahr-Ahrweiler,1.0,True
53505,14,Bad Neuenahr-Ahrweiler,1.0,True
53506,13,Remagen / Sinzig,0.002926,False
53506,14,Bad Neuenahr-Ahrweiler,0.997074,True
53507,14,Bad Neuenahr-Ahrweiler,1.0,True
53508,14,Bad Neuenahr-Ahrweiler,1.0,True
53518,12,Mayen,0.003402,False
53518,14,Bad Neuenahr-Ahrweiler,0.996598,True
53520,12,Mayen,0.000899,False
53520,13,Remagen / Sinzig,5.5e-05,False
53520,14,Bad Neuenahr-Ahrweiler,0.967325,True
53520,20,Vulkaneifel,0.031721,False
53533,14,Bad Neuenahr-Ahrweiler,1.0,True
53534,14,Bad Neuenahr-Ahrweiler,0.999449,True
53534,20,Vulkaneifel,0.000551,False
53539,12,Mayen,0.000193,False
53539,14,Bad Neuenahr-Ahrweiler,0.002578,False
53539,20,Vulkaneifel,0.997229,True
53545,3,Linz am Rhein / Rengsdorf,1.0,True
53547,2,Altenkirchen (Westerwald),0.00036,False
53547,3,Linz am Rhein / Rengsdorf,0.99963,True
53547,13,Remagen / Sinzig,1e-05,False
53557,3,Linz am Rhein / Rengsdorf,0.999989,True
53557,13,Remagen / Sinzig,1.1e-05,False
53560,3,Linz am Rhein / Rengsdorf,1.0,True
