plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
54314,2,Saarlouis,1.0,True
54411,3,Neunkirchen,1.0,True
54413,2,Saarlouis,0.162976,False
54413,3,Neunkirchen,0.837024,True
54422,3,Neunkirchen,1.0,True
54427,2,Saarlouis,1.0,True
54429,2,Saarlouis,1.0,True
54439,2,Saarlouis,1.0,True
54441,2,Saarlouis,1.0,True
54450,2,Saarlouis,1.0,True
54455,2,Saarlouis,1.0,True
55765,3,Neunkirchen,1.0,True
55767,3,Neunkirchen,1.0,True
55776,3,Neunkirchen,1.0,True
55777,3,Neunkirchen,1.0,True
66111,1,Saarbrücken,1.0,True
66113,1,Saarbrücken,1.0,True
66115,1,Saarbrücken,1.0,True
66117,1,Saarbrücken,1.0,True
66119,1,Saarbrücken,1.0,True
66121,1,Saarbrücken,1.0,True
66123,1,Saarbrücken,1.0,True
66125,1,Saarbrücken,0.999714,True
66125,3,Neunkirchen,0.000286,False
66126,1,Saarbrücken,1.0,True
66127,1,Saarbrücken,1.0,True
66128,1,Saarbrücken,1.0,True
66129,1,Saarbrücken,1.0,True
66130,1,Saarbrücken,0.999576,True
66130,3,Neunkirchen,0.000424,False
66131,1,Saarbrücken,0.988483,True
66131,3,Neunkirchen,0.011517,False
66132,1,Saarbrücken,1.0,True
66133,1,Saarbrücken,0.996653,True
66133,3,Neunkirchen,0.003347,False
66265,1,Saarbrücken,0.992163,True
66265,2,Saarlouis,0.003575,False
66265,3,Neunkirchen,0.004262,False
66271,1,Saarbrücken,0.998107,True
66271,3,Neunkirchen,0.001893,False
66280,1,Saarbrücken,0.996602,True
66280,3,Neunkirchen,0.003398,False
66287,1,Saarbrücken,0.996012,True
66287,3,Neunkirchen,0.003988,False
66292,1,Saarbrücken,1.0,True
66299,1,Saarbrücken,0.987101,True
66299,3,Neunkirchen,0.012899,False
66333,1,Saarbrücken,0.997712,True
66333,2,Saarlouis,0.002288,False
66346,1,Saarbrücken,0.993247,True
66346,2,Saarlouis,0.006753,False
66352,1,Saarbrücken,1.0,True
66359,1,Saarbrücken,0.013827,False
66359,2,Saarlouis,0.986173,True
66386,1,Saarbrücken,0.008642,False
66386,3,Neunkirchen,0.991358,True
66399,1,Saarbrücken,0.001176,False
66399,3,Neunkirchen,0.998824,True
66424,3,Neunkirchen,1.0,True
66440,3,Neunkirchen,1.0,True
66450,3,Neunkirchen,1.0,True
66453,3,Neunkirchen,1.0,True
66459,3,Neunkirchen,1.0,True
66482,3,Neunkirchen,1.0,True
66500,3,Neunkirchen,1.0,True
66538,3,Neunkirchen,1.0,True
66539,3,Neunkirchen,1.0,True
66540,1,Saarbrücken,0.001681,False
66540,3,Neunkirchen,0.998319,True
66557,1,Saarbrücken,0.002315,False
66557,3,Neunkirchen,0.997685,True
66564,3,Neunkirchen,1.0,True
66571,1,Saarbrücken,0.001996,False
66571,2,Saarlouis,0.002112,False
66571,3,Neunkirchen,0.995892,True
66578,1,Saarbrücken,0.004001,False
66578,3,Neunkirchen,0.995999,True
66583,1,Saarbrücken,0.00425,False
66583,3,Neunkirchen,0.99575,True
66589,1,Saarbrücken,0.017742,False
66589,3,Neunkirchen,0.982258,True
66606,3,Neunkirchen,1.0,True
66620,2,Saarlouis,0.002116,False
66620,3,Neunkirchen,0.997884,True
66625,3,Neunkirchen,1.0,True
66629,3,Neunkirchen,1.0,True
66636,2,Saarlouis,0.003714,False
66636,3,Neunkirchen,0.996286,True
66640,3,Neunkirchen,1.0,True
66646,3,Neunkirchen,1.0,True
66649,3,Neunkirchen,1.0,True
66663,2,Saarlouis,1.0,True
66679,2,Saarlouis,1.0,True
66687,2,Saarlouis,0.998853,True
66687,3,Neunkirchen,0.001147,False
66693,2,Saarlouis,1.0,True
66701,2,Saarlouis,1.0,True
66706,2,Saarlouis,1.0,True
66709,2,Saarlouis,1.0,True
66740,2,Saarlouis,1.0,True
66763,2,Saarlouis,1.0,True
66773,1,Saarbrücken,0.002285,False
66773,2,Saarlouis,0.997715,True
66780,2,Saarlouis,1.0,True
66787,1,Saarbrücken,0.00537,False
66787,2,Saarlouis,0.99463,True
66793,1,Saarbrücken,0.002621,False
66793,2,Saarlouis,0.997379,True
66798,2,Saarlouis,1.0,True
66802,2,Saarlouis,1.0,True
66806,2,Saarlouis,1.0,True
66809,2,Saarlouis,1.0,True
66822,1,Saarbrücken,0.000295,False
66822,2,Saarlouis,0.9963,True
66822,3,Neunkirchen,0.003405,False
66839,2,Saarlouis,0.999528,True
66839,3,Neunkirchen,0.000472,False
66871,3,Neunkirchen,1.0,True
66892,3,Neunkirchen,1.0,True
66894,3,Neunkirchen,1.0,True
66903,3,Neunkirchen,1.0,True
66909,3,Neunkirchen,1.0,True
66914,3,Neunkirchen,1.0,True
66916,3,Neunkirchen,1.0,True
