plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
04420,33,Merseburg,0.127703,False
04420,34,Bad Dürrenberg-Saalekreis,0.164189,False
04420,39,Weißenfels,0.708108,True
04435,33,Merseburg,0.433528,False
04435,34,Bad Dürrenberg-Saalekreis,0.566472,True
04509,22,Köthen,0.173285,False
04509,28,Bitterfeld-Wolfen,0.25,False
04509,34,Bad Dürrenberg-Saalekreis,0.576715,True
04523,39,Weißenfels,0.183641,False
04523,41,Zeitz,0.816359,True
04539,41,Zeitz,1.0,True
04610,41,Zeitz,1.0,True
04613,41,Zeitz,1.0,True
04617,41,Zeitz,1.0,True
04626,41,Zeitz,1.0,True
04849,22,Köthen,0.079839,False
04849,25,Jessen,0.920161,True
04880,25,Jessen,1.0,True
04886,25,Jessen,1.0,True
04916,25,Jessen,1.0,True
06108,35,Halle I,0.25,True
06108,36,Halle II,0.25,False
06108,37,Halle III,0.25,False
06108,38,Halle IV,0.25,False
06110,35,Halle I,0.25,True
06110,36,Halle II,0.25,False
06110,37,Halle III,0.25,False
06110,38,Halle IV,0.25,False
06112,35,Halle I,0.25,True
06112,36,Halle II,0.25,False
06112,37,Halle III,0.25,False
06112,38,Halle IV,0.25,False
06114,35,Halle I,0.25,True
06114,36,Halle II,0.25,False
06114,37,Halle III,0.25,False
06114,38,Halle IV,0.25,False
06116,34,Bad Dürrenberg-Saalekreis,0.01489,False
06116,35,Halle I,0.246277,True
06116,36,Halle II,0.246277,False
06116,37,Halle III,0.246277,False
06116,38,Halle IV,0.246277,False
06118,29,Saalekreis,0.000519,False
06118,34,Bad Dürrenberg-Saalekreis,0.001558,False
06118,35,Halle I,0.249481,True
06118,36,Halle II,0.249481,False
06118,37,Halle III,0.249481,False
06118,38,Halle IV,0.249481,False
06120,29,Saalekreis,0.002485,False
06120,34,Bad Dürrenberg-Saalekreis,5e-05,False
06120,35,Halle I,0.249366,True
06120,36,Halle II,0.249366,False
06120,37,Halle III,0.249366,False
06120,38,Halle IV,0.249366,False
06122,35,Halle I,0.25,True
06122,36,Halle II,0.25,False
06122,37,Halle III,0.25,False
06122,38,Halle IV,0.25,False
06124,29,Saalekreis,0.00142,False
06124,35,Halle I,0.249645,True
06124,36,Halle II,0.249645,False
06124,37,Halle III,0.249645,False
06124,38,Halle IV,0.249645,False
06126,29,Saalekreis,0.001981,False
06126,35,Halle I,0.249505,True
06126,36,Halle II,0.249505,False
06126,37,Halle III,0.249505,False
06126,38,Halle IV,0.249505,False
06128,29,Saalekreis,6.7e-05,False
06128,35,Halle I,0.249983,True
06128,36,Halle II,0.249983,False
06128,37,Halle III,0.249983,False
06128,38,Halle IV,0.249983,False
06130,35,Halle I,0.25,True
06130,36,Halle II,0.25,False
06130,37,Halle III,0.25,False
06130,38,Halle IV,0.25,False
06132,34,Bad Dürrenberg-Saalekreis,0.001691,False
06132,35,Halle I,0.249577,True
06132,36,Halle II,0.249577,False
06132,37,Halle III,0.249577,False
06132,38,Halle IV,0.249577,False
06179,29,Saalekreis,0.990237,True
06179,32,Querfurt,0.005606,False
06179,34,Bad Dürrenberg-Saalekreis,0.000408,False
06179,35,Halle I,0.000937,False
06179,36,Halle II,0.000937,False
06179,37,Halle III,0.000937,False
06179,38,Halle IV,0.000937,False
06184,34,Bad Dürrenberg-Saalekreis,0.976842,True
06184,35,Halle I,0.00579,False
06184,36,Halle II,0.00579,False
06184,37,Halle III,0.00579,False
06184,38,Halle IV,0.00579,False
06188,28,Bitterfeld-Wolfen,0.000551,False
06188,29,Saalekreis,0.000689,False
06188,34,Bad Dürrenberg-Saalekreis,0.995222,True
06188,35,Halle I,0.000885,False
06188,36,Halle II,0.000885,False
06188,37,Halle III,0.000885,False
06188,38,Halle IV,0.000885,False
06193,21,Bernburg,0.000595,False
06193,22,Köthen,0.000194,False
06193,28,Bitterfeld-Wolfen,0.00081,False
06193,29,Saalekreis,0.688459,True
06193,30,Eisleben,9.9e-05,False
