plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
01067,40,Dresden 1,0.125,True
01067,41,Dresden 2,0.125,False
01067,42,Dresden 3,0.125,False
01067,43,Dresden 4,0.125,False
01067,44,Dresden 5,0.125,False
01067,45,Dresden 6,0.125,False
01067,46,Dresden 7,0.125,False
01067,47,Dresden 8,0.125,False
01069,40,Dresden 1,0.125,True
01069,41,Dresden 2,0.125,False
01069,42,Dresden 3,0.125,False
01069,43,Dresden 4,0.125,False
01069,44,Dresden 5,0.125,False
01069,45,Dresden 6,0.125,False
01069,46,Dresden 7,0.125,False
01069,47,Dresden 8,0.125,False
01097,40,Dresden 1,0.125,True
01097,41,Dresden 2,0.125,False
01097,42,Dresden 3,0.125,False
01097,43,Dresden 4,0.125,False
01097,44,Dresden 5,0.125,False
01097,45,Dresden 6,0.125,False
01097,46,Dresden 7,0.125,False
01097,47,Dresden 8,0.125,False
01099,40,Dresden 1,0.124988,True
01099,41,Dresden 2,0.124988,False
01099,42,Dresden 3,0.124988,False
01099,43,Dresden 4,0.124988,False
01099,44,Dresden 5,0.124988,False
01099,45,Dresden 6,0.124988,False
01099,46,Dresden 7,0.124988,False
01099,47,Dresden 8,0.124988,False
01099,54,Bautzen 3/Budyšin 3,9.7e-05,False
01108,37,Meißen 2,0.001818,False
01108,40,Dresden 1,0.124747,True
01108,41,Dresden 2,0.124747,False
01108,42,Dresden 3,0.124747,False
01108,43,Dresden 4,0.124747,False
01108,44,Dresden 5,0.124747,False
01108,45,Dresden 6,0.124747,False
01108,46,Dresden 7,0.124747,False
01108,47,Dresden 8,0.124747,False
01108,54,Bautzen 3/Budyšin 3,0.000207,False
01109,37,Meißen 2,0.000304,False
01109,39,Meißen 4,0.000339,False
01109,40,Dresden 1,0.12492,True
01109,41,Dresden 2,0.12492,False
01109,42,Dresden 3,0.12492,False
01109,43,Dresden 4,0.12492,False
01109,44,Dresden 5,0.12492,False
01109,45,Dresden 6,0.12492,False
01109,46,Dresden 7,0.12492,False
01109,47,Dresden 8,0.12492,False
01127,40,Dresden 1,0.125,True
01127,41,Dresden 2,0.125,False
01127,42,Dresden 3,0.125,False
01127,43,Dresden 4,0.125,False
01127,44,Dresden 5,0.125,False
01127,45,Dresden 6,0.125,False
01127,46,Dresden 7,0.125,False
01127,47,Dresden 8,0.125,False
01129,39,Meißen 4,0.000833,False
01129,40,Dresden 1,0.124896,True
01129,41,Dresden 2,0.124896,False
01129,42,Dresden 3,0.124896,False
01129,43,Dresden 4,0.124896,False
01129,44,Dresden 5,0.124896,False
01129,45,Dresden 6,0.124896,False
01129,46,Dresden 7,0.124896,False
01129,47,Dresden 8,0.124896,False
01139,39,Meißen 4,0.001246,False
01139,40,Dresden 1,0.124844,True
01139,41,Dresden 2,0.124844,False
01139,42,Dresden 3,0.124844,False
01139,43,Dresden 4,0.124844,False
01139,44,Dresden 5,0.124844,False
01139,45,Dresden 6,0.124844,False
01139,46,Dresden 7,0.124844,False
01139,47,Dresden 8,0.124844,False
01156,38,Meißen 3,0.000166,False
01156,39,Meißen 4,7.1e-05,False
01156,40,Dresden 1,0.12487,True
01156,41,Dresden 2,0.12487,False
01156,42,Dresden 3,0.12487,False
01156,43,Dresden 4,0.12487,False
01156,44,Dresden 5,0.12487,False
01156,45,Dresden 6,0.12487,False
01156,46,Dresden 7,0.12487,False
01156,47,Dresden 8,0.12487,False
01156,48,Sächsische Schweiz-Osterzgebirge 1,0.000806,False
01157,40,Dresden 1,0.125,True
01157,41,Dresden 2,0.125,False
01157,42,Dresden 3,0.125,False
01157,43,Dresden 4,0.125,False
01157,44,Dresden 5,0.125,False
01157,45,Dresden 6,0.125,False
01157,46,Dresden 7,0.125,False
01157,47,Dresden 8,0.125,False
01159,40,Dresden 1,0.125,True
01159,41,Dresden 2,0.125,False
01159,42,Dresden 3,0.125,False
01159,43,Dresden 4,0.125,False
01159,44,Dresden 5,0.125,False
01159,45,Dresden 6,0.125,False
01159,46,Dresden 7,0.125,False
01159,47,Dresden 8,0.125,False
01169,40,Dresden 1,0.124854,True
01169,41,Dresden 2,0.124854,False
01169,42,Dresden 3,0.124854,False
01169,43,Dresden 4,0.124854,False
01169,44,Dresden 5,0.124854,False
01169,45,Dresden 6,0.124854,False
01169,46,Dresden 7,0.124854,False
01169,47,Dresden 8,0.124854,False
01169,48,Sächsische Schweiz-Osterzgebirge 1,0.001172,False
01187,40,Dresden 1,0.124861,True
01187,41,Dresden 2,0.124861,False
01187,42,Dresden 3,0.124861,False
01187,43,Dresden 4,0.124861,False
01187,44,Dresden 5,0.124861,False
01187,45,Dresden 6,0.124861,False
01187,46,Dresden 7,0.124861,False
01187,47,Dresden 8,0.124861,False
01187,48,Sächsische Schweiz-Osterzgebirge 1,0.001114,False
01189,40,Dresden 1,0.124821,True
01189,41,Dresden 2,0.124821,False
01189,42,Dresden 3,0.124821,False
01189,43,Dresden 4,0.124821,False
01189,44,Dresden 5,0.124821,False
01189,45,Dresden 6,0.124821,False
01189,46,Dresden 7,0.124821,False
01189,47,Dresden 8,0.124821,False
01189,48,Sächsische Schweiz-Osterzgebirge 1,0.000752,False
01189,49,Sächsische Schweiz-Osterzgebirge 2,0.000681,False
01217,40,Dresden 1,0.124517,True
01217,41,Dresden 2,0.124517,False
01217,42,Dresden 3,0.124517,False
01217,43,Dresden 4,0.124517,False
01217,44,Dresden 5,0.124517,False
01217,45,Dresden 6,0.124517,False
01217,46,Dresden 7,0.124517,False
01217,47,Dresden 8,0.124517,False
01217,49,Sächsische Schweiz-Osterzgebirge 2,0.003862,False
01219,40,Dresden 1,0.124945,True
01219,41,Dresden 2,0.124945,False
01219,42,Dresden 3,0.124945,False
01219,43,Dresden 4,0.124945,False
01219,44,Dresden 5,0.124945,False
01219,45,Dresden 6,0.124945,False
01219,46,Dresden 7,0.124945,False
01219,47,Dresden 8,0.124945,False
01219,49,Sächsische Schweiz-Osterzgebirge 2,0.000438,False
01237,40,Dresden 1,0.125,True
01237,41,Dresden 2,0.125,False
01237,42,Dresden 3,0.125,False
01237,43,Dresden 4,0.125,False
01237,44,Dresden 5,0.125,False
