plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
19205,134,Wahlkreis 134,1.0,True
19217,134,Wahlkreis 134,1.0,True
19246,134,Wahlkreis 134,1.0,True
19258,134,Wahlkreis 134,0.359584,False
19258,135,Wahlkreis 135,0.640416,True
21029,130,Wahlkreis 130,0.5,True
21029,135,Wahlkreis 135,0.5,False
21039,130,Wahlkreis 130,0.311489,False
21039,135,Wahlkreis 135,0.688511,True
21380,135,Wahlkreis 135,1.0,True
21465,128,Wahlkreis 128,0.287276,False
21465,129,Wahlkreis 129,0.315049,True
21465,130,Wahlkreis 130,0.311619,False
21465,135,Wahlkreis 135,0.086057,False
21481,135,Wahlkreis 135,1.0,True
21483,134,Wahlkreis 134,0.000595,False
21483,135,Wahlkreis 135,0.999405,True
21493,129,Wahlkreis 129,0.000651,False
21493,134,Wahlkreis 134,0.195331,False
21493,135,Wahlkreis 135,0.804017,True
21502,135,Wahlkreis 135,1.0,True
21509,128,Wahlkreis 128,0.333333,True
21509,129,Wahlkreis 129,0.333333,False
21509,130,Wahlkreis 130,0.333333,False
21514,134,Wahlkreis 134,0.963336,True
21514,135,Wahlkreis 135,0.036664,False
21516,134,Wahlkreis 134,0.998963,True
21516,135,Wahlkreis 135,0.001037,False
21521,129,Wahlkreis 129,0.000418,False
21521,130,Wahlkreis 130,0.001308,False
21521,135,Wahlkreis 135,0.998274,True
21524,135,Wahlkreis 135,1.0,True
21526,135,Wahlkreis 135,1.0,True
21527,135,Wahlkreis 135,1.0,True
21529,130,Wahlkreis 130,0.000179,False
21529,135,Wahlkreis 135,0.999821,True
21635,123,Wahlkreis 123,,True
21683,121,Wahlkreis 121,0.0,False
21683,123,Wahlkreis 123,1.0,True
21706,119,Wahlkreis 119,0.7,True
21706,121,Wahlkreis 121,0.3,False
21720,123,Wahlkreis 123,1.0,True
21723,123,Wahlkreis 123,1.0,True
21729,119,Wahlkreis 119,1.0,True
21737,119,Wahlkreis 119,1.0,True
22043,128,Wahlkreis 128,0.333333,True
22043,129,Wahlkreis 129,0.333333,False
22043,130,Wahlkreis 130,0.333333,False
22045,128,Wahlkreis 128,0.333333,True
22045,129,Wahlkreis 129,0.333333,False
22045,130,Wahlkreis 130,0.333333,False
22113,128,Wahlkreis 128,0.333333,True
22113,129,Wahlkreis 129,0.333333,False
22113,130,Wahlkreis 130,0.333333,False
22117,128,Wahlkreis 128,0.333333,True
22117,129,Wahlkreis 129,0.333333,False
22117,130,Wahlkreis 130,0.333333,False
22143,129,Wahlkreis 129,1.0,True
22145,128,Wahlkreis 128,0.001638,False
22145,129,Wahlkreis 129,0.996724,True
22145,130,Wahlkreis 130,0.001638,False
22149,128,Wahlkreis 128,0.32492,False
22149,129,Wahlkreis 129,0.350159,True
22149,130,Wahlkreis 130,0.32492,False
22359,128,Wahlkreis 128,0.333333,True
22359,129,Wahlkreis 129,0.333333,False
22359,130,Wahlkreis 130,0.333333,False
22397,127,Wahlkreis 127,0.736682,True
22397,128,Wahlkreis 128,0.263318,False
22457,122,Wahlkreis 122,0.504288,True
22457,123,Wahlkreis 123,0.495712,False
22559,121,Wahlkreis 121,0.333333,True
22559,123,Wahlkreis 123,0.333333,False
22559,124,Wahlkreis 124,0.333333,False
22844,127,Wahlkreis 127,1.0,True
22848,122,Wahlkreis 122,0.5,True
22848,123,Wahlkreis 123,0.5,False
22851,127,Wahlkreis 127,1.0,True
22880,121,Wahlkreis 121,0.033613,False
22880,123,Wahlkreis 123,0.932773,True
22880,124,Wahlkreis 124,0.033613,False
22885,128,Wahlkreis 128,0.332868,False
22885,129,Wahlkreis 129,0.334264,True
22885,130,Wahlkreis 130,0.332868,False
22889,125,Wahlkreis 125,0.000707,False
22889,126,Wahlkreis 126,0.000682,False
22889,127,Wahlkreis 127,0.997379,True
22889,128,Wahlkreis 128,0.000646,False
22889,130,Wahlkreis 130,0.000586,False
22926,128,Wahlkreis 128,0.333985,False
22926,129,Wahlkreis 129,0.334006,True
22926,130,Wahlkreis 130,0.33201,False
22927,128,Wahlkreis 128,0.01323,False
22927,129,Wahlkreis 129,0.975777,True
22927,130,Wahlkreis 130,0.010994,False
22929,128,Wahlkreis 128,0.001618,False
22929,129,Wahlkreis 129,0.290022,False
22929,134,Wahlkreis 134,0.378885,True
22929,135,Wahlkreis 135,0.329474,False
22941,128,Wahlkreis 128,0.609038,True
22941,129,Wahlkreis 129,0.195236,False
22941,130,Wahlkreis 130,0.195726,False
22946,128,Wahlkreis 128,7.1e-05,False
22946,129,Wahlkreis 129,0.968273,True
22946,130,Wahlkreis 130,7.1e-05,False
22946,134,Wahlkreis 134,0.000104,False
22946,135,Wahlkreis 135,0.031481,False
22949,128,Wahlkreis 128,0.527412,True
22949,129,Wahlkreis 129,0.236294,False
22949,130,Wahlkreis 130,0.236294,False
22952,128,Wahlkreis 128,0.000474,False
22952,129,Wahlkreis 129,0.999298,True
22952,134,Wahlkreis 134,0.000228,False
22955,129,Wahlkreis 129,1.0,True
22956,129,Wahlkreis 129,0.995737,True
22956,134,Wahlkreis 134,0.004263,False
22958,129,Wahlkreis 129,0.005371,False
22958,135,Wahlkreis 135,0.994629,True
22959,129,Wahlkreis 129,0.008529,False
22959,134,Wahlkreis 134,0.991471,True
22961,128,Wahlkreis 128,0.006525,False
22961,129,Wahlkreis 129,0.993475,True
22962,128,Wahlkreis 128,0.003916,False
22962,129,Wahlkreis 129,0.992168,True
22962,130,Wahlkreis 130,0.003916,False
22964,128,Wahlkreis 128,0.997405,True
22964,129,Wahlkreis 129,0.000553,False
22964,134,Wahlkreis 134,0.002042,False
22965,128,Wahlkreis 128,0.996545,True
22965,129,Wahlkreis 129,0.003455,False
22967,128,Wahlkreis 128,0.991957,True
22967,129,Wahlkreis 129,0.004021,False
22967,130,Wahlkreis 130,0.004021,False
22969,129,Wahlkreis 129,1.0,True
23552,131,Wahlkreis 131,0.333333,True
23552,132,Wahlkreis 132,0.333333,False
23552,133,Wahlkreis 133,0.333333,False
23554,117,Wahlkreis 117,0.006412,False
23554,118,Wahlkreis 118,0.006412,False
23554,131,Wahlkreis 131,0.329059,True
23554,132,Wahlkreis 132,0.329059,False
23554,133,Wahlkreis 133,0.329059,False
23556,128,Wahlkreis 128,0.000918,False
23556,131,Wahlkreis 131,0.333027,True
23556,132,Wahlkreis 132,0.333027,False
23556,133,Wahlkreis 133,0.333027,False
23558,128,Wahlkreis 128,0.000164,False
23558,131,Wahlkreis 131,0.333279,True
23558,132,Wahlkreis 132,0.333279,False
23558,133,Wahlkreis 133,0.333279,False
23560,128,Wahlkreis 128,0.001469,False
23560,131,Wahlkreis 131,0.332385,True
23560,132,Wahlkreis 132,0.332385,False
23560,133,Wahlkreis 133,0.332385,False
23560,134,Wahlkreis 134,0.00124,False
23560,135,Wahlkreis 135,0.000135,False
23562,131,Wahlkreis 131,0.332516,True
23562,132,Wahlkreis 132,0.332516,False
23562,133,Wahlkreis 133,0.332516,False
23562,134,Wahlkreis 134,0.002451,False
23564,131,Wahlkreis 131,0.333333,True
23564,132,Wahlkreis 132,0.333333,False
23564,133,Wahlkreis 133,0.333333,False
23566,131,Wahlkreis 131,0.333333,True
23566,132,Wahlkreis 132,0.333333,False
23566,133,Wahlkreis 133,0.333333,False
23568,131,Wahlkreis 131,0.333333,True
23568,132,Wahlkreis 132,0.333333,False
23568,133,Wahlkreis 133,0.333333,False
23569,117,Wahlkreis 117,0.006661,False
23569,118,Wahlkreis 118,0.006661,False
23569,131,Wahlkreis 131,0.328892,True
23569,132,Wahlkreis 132,0.328892,False
23569,133,Wahlkreis 133,0.328892,False
23570,117,Wahlkreis 117,0.000452,False
23570,118,Wahlkreis 118,0.000452,False
23570,131,Wahlkreis 131,0.333032,True
23570,132,Wahlkreis 132,0.333032,False
23570,133,Wahlkreis 133,0.333032,False
23611,117,Wahlkreis 117,0.495263,True
23611,118,Wahlkreis 118,0.495263,False
23611,131,Wahlkreis 131,0.003158,False
23611,132,Wahlkreis 132,0.003158,False
23611,133,Wahlkreis 133,0.003158,False
23617,116,Wahlkreis 116,0.182346,False
23617,117,Wahlkreis 117,0.394796,True
23617,118,Wahlkreis 118,0.394796,False
23617,126,Wahlkreis 126,0.003677,False
23617,128,Wahlkreis 128,0.013095,False
23617,131,Wahlkreis 131,0.003763,False
23617,132,Wahlkreis 132,0.003763,False
23617,133,Wahlkreis 133,0.003763,False
23619,126,Wahlkreis 126,0.004185,False
23619,128,Wahlkreis 128,0.992408,True
23619,131,Wahlkreis 131,0.001135,False
23619,132,Wahlkreis 132,0.001135,False
23619,133,Wahlkreis 133,0.001135,False
23623,116,Wahlkreis 116,0.332963,False
23623,117,Wahlkreis 117,0.332963,False
23623,118,Wahlkreis 118,0.333095,True
23623,126,Wahlkreis 126,0.000978,False
23626,117,Wahlkreis 117,0.498417,True
23626,118,Wahlkreis 118,0.498417,False
23626,131,Wahlkreis 131,0.001055,False
23626,132,Wahlkreis 132,0.001055,False
23626,133,Wahlkreis 133,0.001055,False
23627,131,Wahlkreis 131,0.005469,False
23627,132,Wahlkreis 132,0.005469,False
23627,133,Wahlkreis 133,0.005469,False
23627,134,Wahlkreis 134,0.983594,True
23628,131,Wahlkreis 131,0.126422,False
23628,132,Wahlkreis 132,0.126422,False
23628,133,Wahlkreis 133,0.126422,False
23628,134,Wahlkreis 134,0.619771,True
23628,135,Wahlkreis 135,0.000963,False
23629,116,Wahlkreis 116,0.276528,False
23629,117,Wahlkreis 117,0.361736,True
23629,118,Wahlkreis 118,0.361736,False
23669,117,Wahlkreis 117,0.492166,True
23669,118,Wahlkreis 118,0.492166,False
23669,131,Wahlkreis 131,0.005223,False
23669,132,Wahlkreis 132,0.005223,False
23669,133,Wahlkreis 133,0.005223,False
23683,117,Wahlkreis 117,0.872752,True
23683,118,Wahlkreis 118,0.127248,False
23684,116,Wahlkreis 116,0.223049,False
23684,117,Wahlkreis 117,0.388475,True
23684,118,Wahlkreis 118,0.388475,False
23689,117,Wahlkreis 117,0.5,True
23689,118,Wahlkreis 118,0.5,False
23701,116,Wahlkreis 116,0.051282,False
23701,117,Wahlkreis 117,0.515942,True
23701,118,Wahlkreis 118,0.432776,False
23714,115,Wahlkreis 115,0.980069,True
23714,116,Wahlkreis 116,0.01283,False
23714,117,Wahlkreis 117,0.00393,False
23714,118,Wahlkreis 118,0.003171,False
23715,115,Wahlkreis 115,0.00202,False
23715,116,Wahlkreis 116,0.004374,False
23715,117,Wahlkreis 117,0.002354,False
23715,118,Wahlkreis 118,0.990247,True
23715,126,Wahlkreis 126,0.001005,False
23717,115,Wahlkreis 115,0.000182,False
23717,116,Wahlkreis 116,0.001601,False
23717,117,Wahlkreis 117,0.998217,True
23719,116,Wahlkreis 116,0.002115,False
23719,117,Wahlkreis 117,0.002115,False
23719,118,Wahlkreis 118,0.00305,False
23719,126,Wahlkreis 126,0.99272,True
23730,116,Wahlkreis 116,0.21017,False
23730,117,Wahlkreis 117,0.676348,True
23730,118,Wahlkreis 118,0.113482,False
23738,117,Wahlkreis 117,0.999685,True
23738,118,Wahlkreis 118,0.000315,False
23743,117,Wahlkreis 117,1.0,True
23744,115,Wahlkreis 115,0.000363,False
23744,116,Wahlkreis 116,0.006035,False
23744,117,Wahlkreis 117,0.993602,True
23749,117,Wahlkreis 117,1.0,True
23758,115,Wahlkreis 115,0.00036,False
23758,117,Wahlkreis 117,0.813355,True
23758,118,Wahlkreis 118,0.186285,False
23774,117,Wahlkreis 117,1.0,True
23775,117,Wahlkreis 117,1.0,True
23777,117,Wahlkreis 117,1.0,True
23779,117,Wahlkreis 117,1.0,True
23795,111,Wahlkreis 111,0.001578,False
23795,125,Wahlkreis 125,0.141001,False
23795,126,Wahlkreis 126,0.857336,True
23795,128,Wahlkreis 128,8.6e-05,False
23812,111,Wahlkreis 111,0.210454,False
23812,125,Wahlkreis 125,0.190993,False
23812,126,Wahlkreis 126,0.407559,True
23812,127,Wahlkreis 127,0.190993,False
23813,111,Wahlkreis 111,0.000195,False
23813,126,Wahlkreis 126,0.999805,True
23815,126,Wahlkreis 126,0.998241,True
23815,128,Wahlkreis 128,0.001759,False
23816,126,Wahlkreis 126,0.997876,True
23816,128,Wahlkreis 128,0.002124,False
23818,126,Wahlkreis 126,0.997938,True
23818,127,Wahlkreis 127,1e-06,False
23818,128,Wahlkreis 128,0.002061,False
23820,116,Wahlkreis 116,0.002438,False
23820,117,Wahlkreis 117,0.002438,False
23820,118,Wahlkreis 118,0.002438,False
23820,126,Wahlkreis 126,0.991706,True
23820,128,Wahlkreis 128,0.000978,False
23821,126,Wahlkreis 126,1.0,True
23823,116,Wahlkreis 116,0.00118,False
23823,117,Wahlkreis 117,0.000384,False
23823,118,Wahlkreis 118,0.00054,False
23823,126,Wahlkreis 126,0.997897,True
23824,126,Wahlkreis 126,1.0,True
23826,125,Wahlkreis 125,0.001025,False
23826,126,Wahlkreis 126,0.997949,True
23826,127,Wahlkreis 127,0.001025,False
23827,116,Wahlkreis 116,0.002455,False
23827,117,Wahlkreis 117,0.002455,False
23827,118,Wahlkreis 118,0.002455,False
23827,126,Wahlkreis 126,0.992635,True
23829,126,Wahlkreis 126,1.0,True
23843,126,Wahlkreis 126,0.001168,False
23843,128,Wahlkreis 128,0.485365,True
23843,129,Wahlkreis 129,0.256734,False
23843,130,Wahlkreis 130,0.256734,False
23845,125,Wahlkreis 125,0.000405,False
23845,126,Wahlkreis 126,0.790086,True
23845,127,Wahlkreis 127,0.07942,False
23845,128,Wahlkreis 128,0.128397,False
23845,129,Wahlkreis 129,0.000845,False
23845,130,Wahlkreis 130,0.000845,False
23847,128,Wahlkreis 128,0.412708,False
23847,129,Wahlkreis 129,0.000642,False
23847,130,Wahlkreis 130,0.000642,False
23847,131,Wahlkreis 131,0.000121,False
23847,132,Wahlkreis 132,0.000121,False
23847,133,Wahlkreis 133,0.000121,False
23847,134,Wahlkreis 134,0.511439,True
23847,135,Wahlkreis 135,0.074205,False
23858,126,Wahlkreis 126,0.000964,False
23858,127,Wahlkreis 127,0.000503,False
23858,128,Wahlkreis 128,0.993475,True
23858,129,Wahlkreis 129,0.002529,False
23858,130,Wahlkreis 130,0.002529,False
23860,128,Wahlkreis 128,0.568979,True
23860,131,Wahlkreis 131,0.003037,False
23860,132,Wahlkreis 132,0.003037,False
23860,133,Wahlkreis 133,0.003037,False
23860,134,Wahlkreis 134,0.421364,False
23860,135,Wahlkreis 135,0.000546,False
23863,125,Wahlkreis 125,1e-06,False
23863,126,Wahlkreis 126,0.105439,False
23863,127,Wahlkreis 127,0.000948,False
23863,128,Wahlkreis 128,0.541064,True
23863,130,Wahlkreis 130,0.352548,False
23866,125,Wahlkreis 125,0.003692,False
23866,126,Wahlkreis 126,0.990784,True
23866,127,Wahlkreis 127,0.003692,False
23866,128,Wahlkreis 128,0.001266,False
23866,130,Wahlkreis 130,0.000566,False
23867,126,Wahlkreis 126,0.990164,True
23867,128,Wahlkreis 128,0.009836,False
23869,126,Wahlkreis 126,0.000943,False
23869,128,Wahlkreis 128,0.994243,True
23869,129,Wahlkreis 129,0.001167,False
23869,130,Wahlkreis 130,0.003646,False
23879,134,Wahlkreis 134,1.0,True
23881,129,Wahlkreis 129,0.001186,False
23881,134,Wahlkreis 134,0.997066,True
23881,135,Wahlkreis 135,0.001749,False
23883,134,Wahlkreis 134,1.0,True
23896,134,Wahlkreis 134,1.0,True
23898,134,Wahlkreis 134,1.0,True
23899,134,Wahlkreis 134,1.0,True
23909,134,Wahlkreis 134,0.999835,True
