plz,wahlkreis_nr,wahlkreis_name,overlap,is_primary
04539,43,Altenburger Land I,1.0,True
04552,44,Altenburger Land II,1.0,True
04565,43,Altenburger Land I,0.638371,True
04565,44,Altenburger Land II,0.361629,False
04600,43,Altenburger Land I,0.001585,False
04600,44,Altenburger Land II,0.998415,True
04603,43,Altenburger Land I,0.067801,False
04603,44,Altenburger Land II,0.932199,True
04610,43,Altenburger Land I,0.998441,True
04610,44,Altenburger Land II,0.001559,False
04613,43,Altenburger Land I,1.0,True
04617,43,Altenburger Land I,0.716256,True
04617,44,Altenburger Land II,0.283744,False
04618,44,Altenburger Land II,1.0,True
04626,40,Greiz II,0.000779,False
04626,43,Altenburger Land I,0.998237,True
04626,44,Altenburger Land II,0.000984,False
04639,43,Altenburger Land I,0.996722,True
04639,44,Altenburger Land II,0.003278,False
04654,44,Altenburger Land II,1.0,True
06268,11,Kyffhäuserkreis II,1.0,True
06493,3,Nordhausen I,1.0,True
06528,11,Kyffhäuserkreis II,1.0,True
06536,3,Nordhausen I,0.601493,True
06536,4,Nordhausen II,0.398507,False
06537,3,Nordhausen I,6.5e-05,False
06537,11,Kyffhäuserkreis II,0.999935,True
06542,11,Kyffhäuserkreis II,1.0,True
06556,11,Kyffhäuserkreis II,1.0,True
06567,11,Kyffhäuserkreis II,0.999419,True
06567,17,Sömmerda II,0.000581,False
06571,11,Kyffhäuserkreis II,0.998027,True
06571,17,Sömmerda II,0.001973,False
06577,11,Kyffhäuserkreis II,0.995097,True
06577,17,Sömmerda II,0.004903,False
06618,36,Saale-Holzland-Kreis II,1.0,True
06628,31,Weimar I/Weimarer Land II,0.86608,True
06628,36,Saale-Holzland-Kreis II,0.13392,False
06642,11,Kyffhäuserkreis II,1.0,True
06647,11,Kyffhäuserkreis II,0.251922,False
06647,17,Sömmerda II,0.748078,True
06648,17,Sömmerda II,0.165112,False
06648,31,Weimar I/Weimarer Land II,0.834888,True
06712,40,Greiz II,0.326517,True
06712,41,Gera I,0.231461,False
06712,42,Gera II,0.231461,False
06712,43,Altenburger Land I,0.210562,False
06721,36,Saale-Holzland-Kreis II,1.0,True
06722,36,Saale-Holzland-Kreis II,0.439257,True
06722,41,Gera I,0.280372,False
06722,42,Gera II,0.280372,False
06729,43,Altenburger Land I,1.0,True
07318,20,Hildburghausen II/Sonneberg II,0.00279,False
07318,28,Saalfeld-Rudolstadt I,0.008501,False
07318,29,Saalfeld-Rudolstadt II,0.988709,True
07330,29,Saalfeld-Rudolstadt II,0.999635,True
07330,33,Saale-Orla-Kreis I,0.000365,False
07333,28,Saalfeld-Rudolstadt I,0.000239,False
07333,29,Saalfeld-Rudolstadt II,0.995733,True
07333,30,Weimarer Land I/Saalfeld-Rudolstadt III,0.001697,False
